rule,r,delta,omega,mode_N
hysteresis,0.5,4,1.95,1.9875
hysteresis,0.5,4,1.975,1.9875
hysteresis,0.5,4,2.0,1.9875
hysteresis,0.5,4,2.025,2.0125
hysteresis,0.5,4,2.05,2.0125
hysteresis,0.5,4,2.075,2.0125
hysteresis,0.5,4,2.1,2.0375
hysteresis,0.5,4,2.125,2.0375
hysteresis,0.5,4,2.15,2.0375
hysteresis,0.5,4,2.175,2.0625
hysteresis,0.5,4,2.2,2.0625
hysteresis,0.5,4,2.225,2.0625
hysteresis,0.5,4,2.25,2.0875000000000004
hysteresis,0.5,4,2.275,2.0875000000000004
hysteresis,0.5,4,2.3,2.1125
hysteresis,0.5,4,2.325,2.0875000000000004
hysteresis,0.5,4,2.3333333333333335,2.1125
hysteresis,0.5,4,2.35,2.1125
hysteresis,0.5,4,2.375,2.1125
hysteresis,0.5,4,2.4,2.1125
hysteresis,0.5,4,2.414213562373095,2.1375
hysteresis,0.5,4,2.425,2.1375
hysteresis,0.5,4,2.45,2.1375
hysteresis,0.5,4,2.475,2.1625
hysteresis,0.5,4,2.5,2.1625
hysteresis,0.5,4,2.525,2.1625
hysteresis,0.5,4,2.55,2.1625
hysteresis,0.5,4,2.575,2.1625
hysteresis,0.5,4,2.6,2.1625
