seed,delta,omega,rule,crossings,max_event_time_error,rms_error
101,1.0,2.4,raw,538,9.094947017729282e-13,7.771561172376096e-16
101,1.0,2.4,hysteresis,497,9.094947017729282e-13,7.771561172376096e-16
101,1.0,2.414213562373095,raw,552,4.547473508864641e-13,5.551115123125783e-16
101,1.0,2.414213562373095,hysteresis,500,4.547473508864641e-13,5.551115123125783e-16
101,1.0,2.425,raw,545,4.547473508864641e-13,1.1102230246251565e-16
101,1.0,2.425,hysteresis,504,4.547473508864641e-13,1.1102230246251565e-16
101,1.0,2.45,raw,545,4.547473508864641e-13,5.551115123125783e-16
101,1.0,2.45,hysteresis,501,4.547473508864641e-13,5.551115123125783e-16
101,1.0,2.475,raw,552,4.547473508864641e-13,0.0
101,1.0,2.475,hysteresis,497,4.547473508864641e-13,0.0
101,1.0,2.5,raw,552,9.094947017729282e-13,0.0
101,1.0,2.5,hysteresis,497,9.094947017729282e-13,0.0
101,1.0,2.525,raw,542,9.094947017729282e-13,5.551115123125783e-16
101,1.0,2.525,hysteresis,492,9.094947017729282e-13,5.551115123125783e-16
101,1.0,2.55,raw,541,9.094947017729282e-13,3.3306690738754696e-16
101,1.0,2.55,hysteresis,492,9.094947017729282e-13,3.3306690738754696e-16
101,1.0,2.575,raw,541,9.094947017729282e-13,1.1102230246251565e-16
101,1.0,2.575,hysteresis,493,9.094947017729282e-13,1.1102230246251565e-16
101,1.0,2.6,raw,535,9.094947017729282e-13,4.440892098500626e-16
101,1.0,2.6,hysteresis,494,9.094947017729282e-13,4.440892098500626e-16
101,1.5,1.9,raw,665,4.547473508864641e-13,3.3306690738754696e-16
101,1.5,1.9,hysteresis,610,4.547473508864641e-13,3.3306690738754696e-16
101,1.5,1.925,raw,660,4.547473508864641e-13,2.220446049250313e-16
101,1.5,1.925,hysteresis,612,4.547473508864641e-13,2.220446049250313e-16
101,1.5,1.95,raw,660,9.094947017729282e-13,4.440892098500626e-16
101,1.5,1.95,hysteresis,607,9.094947017729282e-13,4.440892098500626e-16
101,1.5,1.975,raw,656,4.547473508864641e-13,4.440892098500626e-16
101,1.5,1.975,hysteresis,594,4.547473508864641e-13,4.440892098500626e-16
101,1.5,2.0,raw,649,4.547473508864641e-13,3.3306690738754696e-16
101,1.5,2.0,hysteresis,591,4.547473508864641e-13,3.3306690738754696e-16
101,1.5,2.025,raw,650,4.547473508864641e-13,3.3306690738754696e-16
101,1.5,2.025,hysteresis,594,4.547473508864641e-13,3.3306690738754696e-16
101,1.5,2.05,raw,633,4.547473508864641e-13,1.1102230246251565e-16
101,1.5,2.05,hysteresis,586,4.547473508864641e-13,1.1102230246251565e-16
101,1.5,2.075,raw,639,9.094947017729282e-13,8.881784197001252e-16
101,1.5,2.075,hysteresis,580,9.094947017729282e-13,8.881784197001252e-16
101,1.5,2.1,raw,631,9.094947017729282e-13,0.0
101,1.5,2.1,hysteresis,575,4.547473508864641e-13,0.0
101,1.5,2.125,raw,634,4.547473508864641e-13,4.440892098500626e-16
101,1.5,2.125,hysteresis,576,4.547473508864641e-13,4.440892098500626e-16
101,1.5,2.15,raw,624,4.547473508864641e-13,6.661338147750939e-16
101,1.5,2.15,hysteresis,569,4.547473508864641e-13,6.661338147750939e-16
101,1.5,2.175,raw,626,9.094947017729282e-13,2.220446049250313e-16
101,1.5,2.175,hysteresis,562,9.094947017729282e-13,2.220446049250313e-16
101,1.5,2.2,raw,624,9.094947017729282e-13,0.0
101,1.5,2.2,hysteresis,565,4.547473508864641e-13,0.0
101,1.5,2.225,raw,621,4.547473508864641e-13,6.661338147750939e-16
101,1.5,2.225,hysteresis,574,4.547473508864641e-13,6.661338147750939e-16
101,1.5,2.25,raw,609,4.547473508864641e-13,2.220446049250313e-16
101,1.5,2.25,hysteresis,544,4.547473508864641e-13,2.220446049250313e-16
101,1.5,2.275,raw,607,4.547473508864641e-13,3.3306690738754696e-16
101,1.5,2.275,hysteresis,551,4.547473508864641e-13,3.3306690738754696e-16
101,1.5,2.3,raw,624,4.547473508864641e-13,7.771561172376096e-16
101,1.5,2.3,hysteresis,549,4.547473508864641e-13,7.771561172376096e-16
101,1.5,2.325,raw,622,4.547473508864641e-13,2.220446049250313e-16
101,1.5,2.325,hysteresis,556,4.547473508864641e-13,2.220446049250313e-16
101,1.5,2.3333333333333335,raw,605,9.094947017729282e-13,2.220446049250313e-16
101,1.5,2.3333333333333335,hysteresis,544,9.094947017729282e-13,2.220446049250313e-16
101,1.5,2.35,raw,609,4.547473508864641e-13,2.220446049250313e-16
101,1.5,2.35,hysteresis,548,4.547473508864641e-13,2.220446049250313e-16
101,1.5,2.375,raw,607,4.547473508864641e-13,1.1102230246251565e-16
101,1.5,2.375,hysteresis,542,4.547473508864641e-13,1.1102230246251565e-16
101,1.5,2.4,raw,592,4.547473508864641e-13,2.220446049250313e-16
101,1.5,2.4,hysteresis,537,4.547473508864641e-13,2.220446049250313e-16
101,1.5,2.414213562373095,raw,600,9.094947017729282e-13,1.1102230246251565e-16
101,1.5,2.414213562373095,hysteresis,542,9.094947017729282e-13,1.1102230246251565e-16
101,1.5,2.425,raw,596,4.547473508864641e-13,2.220446049250313e-16
101,1.5,2.425,hysteresis,539,4.547473508864641e-13,2.220446049250313e-16
101,1.5,2.45,raw,609,4.547473508864641e-13,3.3306690738754696e-16
101,1.5,2.45,hysteresis,539,4.547473508864641e-13,3.3306690738754696e-16
101,1.5,2.475,raw,601,9.094947017729282e-13,3.3306690738754696e-16
101,1.5,2.475,hysteresis,535,9.094947017729282e-13,3.3306690738754696e-16
101,1.5,2.5,raw,601,4.547473508864641e-13,5.551115123125783e-16
101,1.5,2.5,hysteresis,542,4.547473508864641e-13,5.551115123125783e-16
101,1.5,2.525,raw,598,4.547473508864641e-13,1.1102230246251565e-16
101,1.5,2.525,hysteresis,535,4.547473508864641e-13,1.1102230246251565e-16
101,1.5,2.55,raw,591,4.547473508864641e-13,4.440892098500626e-16
101,1.5,2.55,hysteresis,532,4.547473508864641e-13,4.440892098500626e-16
101,1.5,2.575,raw,588,4.547473508864641e-13,2.220446049250313e-16
101,1.5,2.575,hysteresis,523,4.547473508864641e-13,2.220446049250313e-16
101,1.5,2.6,raw,585,9.094947017729282e-13,3.3306690738754696e-16
101,1.5,2.6,hysteresis,526,9.094947017729282e-13,3.3306690738754696e-16
101,2.0,1.9,raw,754,4.547473508864641e-13,0.0
