r,delta,seed,dt,rule,cycles,mean_N,median_N,integer_fraction,band1,band2,band3,event_R1,event_R2,interval_R,next2_given2,event_Omega
0.0,0.0,301,0.00125,raw,481,2.3147609934912574,2.3009383796089513,0.10810810810810811,0.004158004158004158,0.08523908523908524,0.016632016632016633,0.029550665284926794,0.01670555946699775,0.4681484025221816,0.175,1.0080234373632087
0.0,0.0,301,0.00125,hysteresis,454,2.4524229909015305,2.3196521485494634,0.11013215859030837,0.0,0.07268722466960352,0.019823788546255508,0.05121881524463754,0.014178052896930866,0.48373320427328365,0.1875,0.9514400011702635
0.0,2.0,301,0.00125,raw,646,1.7229617255838932,2.044892485686222,0.29256965944272445,0.17956656346749225,0.10526315789473684,0.007739938080495356,0.6467802714756137,0.2623948943971057,0.38991298750711517,0.23529411764705882,1.354257206463824
0.0,2.0,301,0.00125,hysteresis,582,1.9124283070914003,2.1248516690481143,0.3127147766323024,0.13917525773195877,0.15979381443298968,0.012027491408934709,0.6561761956866551,0.2978369641187758,0.41480793438036395,0.3010752688172043,1.220089309848213
0.0,4.0,301,0.00125,raw,888,1.2533937105213449,1.0466030286644379,0.43355855855855857,0.3704954954954955,0.06306306306306306,0.0,0.8045032260093554,0.43269768556669613,0.5450289865536395,0.14285714285714285,1.8616124476664169
0.0,4.0,301,0.00125,hysteresis,821,1.3556804079694937,1.0625122896839554,0.4689403166869671,0.3751522533495737,0.0925700365408039,0.001218026796589525,0.8325478105677235,0.49537097867869767,0.6117135358616607,0.14473684210526316,1.7211529499258202
0.5,0.0,301,0.00125,raw,481,2.315432517419774,2.283427671638892,0.13513513513513514,0.004158004158004158,0.11226611226611227,0.018711018711018712,0.042884443721133356,0.038847960806422645,0.44745989044187096,0.1111111111111111,1.0077310894525688
0.5,0.0,301,0.00125,hysteresis,457,2.4370307240238764,2.308798526062969,0.12472647702407003,0.0,0.10065645514223195,0.01312910284463895,0.03684028833065258,0.03628476445541417,0.46379669428224657,0.06521739130434782,0.9574492887314427
0.5,2.0,301,0.00125,raw,595,1.8720098693357048,2.122794768435593,0.280672268907563,0.12773109243697478,0.14453781512605043,0.008403361344537815,0.56259044566558,0.19656711637012805,0.33607907239522916,0.22093023255813954,1.2464321751473098
0.5,2.0,301,0.00125,hysteresis,530,2.10159598538631,2.1659057904594725,0.3,0.06981132075471698,0.21132075471698114,0.016981132075471698,0.5567654854664968,0.22355708608993927,0.3756418674731758,0.32142857142857145,1.1102673156774356
0.5,4.0,301,0.00125,raw,742,1.5011800137950437,1.1638952877169595,0.35983827493261455,0.24932614555256064,0.1091644204851752,0.0013477088948787063,0.7276047641984983,0.3359587418214359,0.4672670403084459,0.12345679012345678,1.5543327994585892
