r,delta,seed,complete_drive_periods,empty_fraction,one_fraction,multiple_fraction,longest_near2_sequence
0,0,101,1113,0.5884995507637018,0.4115004492362983,0.0,3
0,2,101,1113,0.4519317160826595,0.5480682839173405,0.0,6
0,4,101,1113,0.19946091644204852,0.8005390835579514,0.0,4
0.5,0,101,1113,0.5929919137466307,0.40700808625336926,0.0,3
0.5,2,101,1113,0.5166217430368374,0.4833782569631626,0.0,6
0.5,4,101,1113,0.3557951482479784,0.6442048517520216,0.0,4
0,0,102,1113,0.5876010781671159,0.4123989218328841,0.0,2
0,2,102,1113,0.4950584007187781,0.504941599281222,0.0,3
0,4,102,1113,0.24258760107816713,0.7574123989218329,0.0,3
0.5,0,102,1113,0.5884995507637018,0.4115004492362983,0.0,2
0.5,2,102,1113,0.5336927223719676,0.46630727762803237,0.0,3
0.5,4,102,1113,0.4025157232704403,0.5974842767295597,0.0,4
0,0,103,1113,0.5876010781671159,0.4123989218328841,0.0,3
0,2,103,1113,0.47079964061096136,0.5292003593890386,0.0,5
0,4,103,1113,0.22192273135669363,0.7780772686433064,0.0,2
0.5,0,103,1113,0.5920934411500449,0.4079065588499551,0.0,3
0.5,2,103,1113,0.5094339622641509,0.49056603773584906,0.0,5
0.5,4,103,1113,0.3557951482479784,0.6442048517520216,0.0,3
0,0,104,1113,0.5822102425876011,0.41778975741239893,0.0,2
0,2,104,1113,0.4995507637017071,0.5004492362982929,0.0,3
0,4,104,1113,0.27044025157232704,0.7295597484276729,0.0,3
0.5,0,104,1113,0.5884995507637018,0.4115004492362983,0.0,3
0.5,2,104,1113,0.5435759209344115,0.4564240790655885,0.0,4
0.5,4,104,1113,0.44564240790655885,0.5543575920934412,0.0,5
0,0,105,1113,0.5867026055705301,0.4132973944294699,0.0,2
0,2,105,1113,0.4950584007187781,0.504941599281222,0.0,3
0,4,105,1113,0.261455525606469,0.738544474393531,0.0,3
0.5,0,105,1113,0.5947888589398024,0.4052111410601977,0.0,2
0.5,2,105,1113,0.5462713387241689,0.4537286612758311,0.0,5
0.5,4,105,1113,0.43216531895777177,0.5678346810422282,0.0,3
0,0,106,1113,0.5911949685534591,0.4088050314465409,0.0,2
0,2,106,1113,0.46900269541778977,0.5309973045822103,0.0,3
0,4,106,1113,0.23000898472596587,0.7699910152740341,0.0,3
0.5,0,106,1113,0.5920934411500449,0.4079065588499551,0.0,2
0.5,2,106,1113,0.5112309074573226,0.4887690925426775,0.0,3
0.5,4,106,1113,0.3782569631626235,0.6217430368373764,0.0,3
0,0,107,1113,0.5813117699910153,0.41868823000898475,0.0,2
0,2,107,1113,0.5040431266846361,0.49595687331536387,0.0,4
0,4,107,1113,0.3090745732255166,0.6909254267744834,0.0,3
0.5,0,107,1113,0.5876010781671159,0.4123989218328841,0.0,2
0.5,2,107,1113,0.5417789757412399,0.4582210242587601,0.0,6
0.5,4,107,1113,0.44923629829290207,0.550763701707098,0.0,3
0,0,108,1113,0.5849056603773585,0.41509433962264153,0.0,2
0,2,108,1113,0.48247978436657685,0.5175202156334232,0.0,4
0,4,108,1113,0.23809523809523808,0.7619047619047619,0.0,3
0.5,0,108,1113,0.5884995507637018,0.4115004492362983,0.0,3
0.5,2,108,1113,0.5327942497753818,0.46720575022461813,0.0,5
0.5,4,108,1113,0.3890386343216532,0.6109613656783468,0.0,5
0,0,201,1113,0.5911949685534591,0.4088050314465409,0.0,3
0,2,201,1113,0.4618149146451033,0.5381850853548967,0.0,4
0,4,201,1113,0.22192273135669363,0.7780772686433064,0.0,3
0.5,0,201,1113,0.5920934411500449,0.4079065588499551,0.0,2
0.5,2,201,1113,0.5121293800539084,0.48787061994609165,0.0,7
0.5,4,201,1113,0.38724168912848156,0.6127583108715184,0.0,5
0,0,202,1113,0.6001796945193172,0.3998203054806828,0.0,2
0,2,202,1113,0.4788858939802336,0.5211141060197664,0.0,3
0,4,202,1113,0.25336927223719674,0.7466307277628033,0.0,2
0.5,0,202,1113,0.5947888589398024,0.4052111410601977,0.0,2
0.5,2,202,1113,0.5265049415992812,0.47349505840071876,0.0,3
0.5,4,202,1113,0.3953279424977538,0.6046720575022462,0.0,3
0,0,203,1113,0.5929919137466307,0.40700808625336926,0.0,2
0,2,203,1113,0.4743935309973046,0.5256064690026954,0.0,3
0,4,203,1113,0.25157232704402516,0.7484276729559748,0.0,3
0.5,0,203,1113,0.5956873315363881,0.40431266846361186,0.0,2
0.5,2,203,1113,0.5265049415992812,0.47349505840071876,0.0,3
0.5,4,203,1113,0.40341419586702604,0.5965858041329739,0.0,3
0,0,204,1113,0.5822102425876011,0.41778975741239893,0.0,2
0,2,204,1113,0.44564240790655885,0.5543575920934412,0.0,3
0,4,204,1113,0.2183288409703504,0.7816711590296496,0.0,3
0.5,0,204,1113,0.5884995507637018,0.4115004492362983,0.0,2
0.5,2,204,1113,0.4887690925426775,0.5112309074573226,0.0,4
0.5,4,204,1113,0.3261455525606469,0.6738544474393531,0.0,3
0,0,205,1113,0.5911949685534591,0.4088050314465409,0.0,3
0,2,205,1113,0.4609164420485175,0.5390835579514824,0.0,4
0,4,205,1113,0.20664869721473494,0.793351302785265,0.0,3
0.5,0,205,1113,0.5938903863432166,0.40610961365678344,0.0,3
0.5,2,205,1113,0.5148247978436657,0.48517520215633425,0.0,5
0.5,4,205,1113,0.353099730458221,0.6469002695417789,0.0,5
0,0,206,1113,0.5911949685534591,0.4088050314465409,0.0,2
0,2,206,1113,0.49056603773584906,0.5094339622641509,0.0,3
0,4,206,1113,0.2722371967654987,0.7277628032345014,0.0,3
0.5,0,206,1113,0.5992812219227314,0.40071877807726863,0.0,1
0.5,2,206,1113,0.5435759209344115,0.4564240790655885,0.0,4
0.5,4,206,1113,0.4132973944294699,0.5867026055705301,0.0,4
0,0,207,1113,0.5786163522012578,0.42138364779874216,0.0,3
0,2,207,1113,0.48787061994609165,0.5121293800539084,0.0,3
0,4,207,1113,0.2398921832884097,0.7601078167115903,0.0,3
0.5,0,207,1113,0.5786163522012578,0.42138364779874216,0.0,3
0.5,2,207,1113,0.5372866127583109,0.46271338724168914,0.0,3
0.5,4,207,1113,0.40610961365678344,0.5938903863432166,0.0,3
0,0,208,1113,0.5947888589398024,0.4052111410601977,0.0,2
0,2,208,1113,0.4546271338724169,0.5453728661275831,0.0,3
0,4,208,1113,0.23539982030548068,0.7646001796945193,0.0,3
0.5,0,208,1113,0.5983827493261455,0.40161725067385445,0.0,2
0.5,2,208,1113,0.5157232704402516,0.48427672955974843,0.0,3
0.5,4,208,1113,0.38185085354896675,0.6181491464510332,0.0,3
