r,delta,rule,seed,cycles,mean_N,median_N,integer_fraction,band1,band2,band3,event_R1,event_R2,interval_R,next2_given2,event_Omega,Q2,phase_drift2,residual_variance
0,0,raw,101,483,2.3024127482935426,2.303224587484786,0.12836438923395446,0.004140786749482402,0.10351966873706005,0.016563146997929608,0.022663311513795092,0.008840308153045748,0.4240758795542253,0.16,1.0134296446467768,0.028976999107313304,-0.30666452089738394,0.42181992776066096
0,0,raw,102,474,2.3457872106045135,2.3301165449896972,0.10759493670886076,0.002109704641350211,0.08016877637130802,0.016877637130801686,0.023552341758182622,0.03194216074615725,0.4235099656104384,0.10526315789473684,0.9946909603672148,0.00968173718432085,-0.3485756100594304,0.5058727551896863
0,0,raw,103,478,2.3263150588242665,2.3185224352868525,0.10460251046025104,0.0041841004184100415,0.08368200836820083,0.008368200836820083,0.01803176692683198,0.021056473366327846,0.4648306753877,0.2,1.0030169062795018,0.00956706635479514,-0.3352729273881716,0.4649417311947196
0,0,raw,104,482,2.3086618840673485,2.323139325636216,0.08921161825726141,0.002074688796680498,0.07676348547717843,0.01037344398340249,0.011891924821150422,0.02809006287814368,0.5384712556137781,0.08108108108108109,1.01068647143016,0.023649894336496318,-0.3122461023505405,0.603109501590406
0,0,raw,105,474,2.3453254334134237,2.330739244522009,0.0949367088607595,0.0,0.07805907172995781,0.014767932489451477,0.016760206440523392,0.027255028276053424,0.458715562676261,0.08108108108108109,0.9948868076433057,0.016405465783361668,-0.3438349339206168,0.5446158414580178
0,0,raw,106,480,2.315708619372099,2.3427150477337646,0.09375,0.004166666666666667,0.06666666666666667,0.01875,0.021212004069127634,0.01683139094616711,0.4551265056554212,0.0625,1.0076109376688391,0.02243691414526333,-0.31746881340015776,0.48561832660748383
0,0,raw,107,478,2.325625441522135,2.327310238192023,0.07740585774058577,0.0,0.06903765690376569,0.008368200836820083,0.02819058359912608,0.05982898949061902,0.5260587802558941,0.06060606060606061,1.0033143307058738,0.017422164786956944,-0.326573550262657,0.609115087599394
0,0,raw,108,473,2.350517319906219,2.34427504009455,0.08456659619450317,0.0,0.07188160676532769,0.008456659619450317,0.03484768690242187,0.05384638272490084,0.43201592743450723,0.11764705882352941,0.9926892746429237,0.018209963139313754,-0.34795005233161014,0.4891123999233674
0,0,raw,201,477,2.334240098570678,2.3257768237300653,0.1111111111111111,0.0,0.09433962264150944,0.010482180293501049,0.03706397854951371,0.017568990886698707,0.4041226921734864,0.1111111111111111,0.9996115372887734,0.024162231592214603,-0.33830188302722486,0.4700380609058703
0,0,raw,202,477,2.3260093729457356,2.3225892060773914,0.0880503144654088,0.0020964360587002098,0.07337526205450734,0.010482180293501049,0.04155600346268483,0.02681789475190287,0.43583189942362477,0.05714285714285714,1.0031487235059262,0.022606385125270623,-0.3321533423379197,0.535532094471387
0,0,raw,203,475,2.3360171150448723,2.3220182064669865,0.11578947368421053,0.002105263157894737,0.09263157894736843,0.016842105263157894,0.026238685788751295,0.029757861367245862,0.43905515237187787,0.13953488372093023,0.9988511292600323,0.0068972196176723555,-0.33690059143971496,0.5219075898703434
0,0,raw,204,483,2.3012985167990685,2.3188943823253094,0.09937888198757763,0.002070393374741201,0.08074534161490683,0.016563146997929608,0.010508762255691933,0.0434759279885586,0.4213875626851519,0.02564102564102564,1.0139203220705255,0.017777562069623488,-0.30659582690439846,0.4150966973086618
0,0,raw,205,467,2.3808124247849283,2.3530348821508538,0.1349036402569593,0.008565310492505354,0.09421841541755889,0.029978586723768737,0.04837352844709326,0.03900210289329852,0.40889825668169616,0.09090909090909091,0.9800576093448924,0.03394351311404015,-0.3731609274832042,0.4335000906086987
0,0,raw,206,477,2.333927090908397,2.3316933425928243,0.08176100628930817,0.0,0.07127882599580712,0.010482180293501049,0.01230968469471236,0.03574720728248322,0.5088449725341505,0.08823529411764706,0.9997455972050815,0.010417781143013895,-0.33389579903504996,0.5224031894788311
0,0,raw,207,476,2.3314775604351636,2.3211643249794256,0.10294117647058823,0.0,0.0861344537815126,0.012605042016806723,0.04108662568457338,0.01229691179843146,0.46431285936485556,0.14634146341463414,1.000795964297346,0.02813676138315571,-0.33250556447902513,0.4958531230413189
0,0,raw,208,476,2.337575361160026,2.326302632474338,0.11134453781512606,0.0,0.0819327731092437,0.02100840336134454,0.03072423666154194,0.03920364665464033,0.43769937751496646,0.02564102564102564,0.9981852872437073,0.024248903762612576,-0.3359665630396311,0.49005078474481106
0,0,hysteresis,101,458,2.428090300056291,2.321196656936866,0.12008733624454149,0.0,0.10043668122270742,0.013100436681222707,0.023307093146321588,0.0060077678253347856,0.43190298301818064,0.15217391304347827,0.9609746940957015,0.028976999107313304,-0.30666452089738394,0.42181992776066096
0,0,hysteresis,102,459,2.422446923369367,2.3403507832410244,0.10457516339869281,0.0,0.08278867102396514,0.013071895424836602,0.023681200177770336,0.03503747668813907,0.44461557438130794,0.10526315789473684,0.9632133983302777,0.00968173718432085,-0.3485756100594304,0.5058727551896863
0,0,hysteresis,103,458,2.4279008692532735,2.331931484638855,0.11572052401746726,0.002183406113537118,0.08733624454148471,0.008733624454148471,0.0138723541230921,0.011384839934699246,0.45236362715188133,0.2,0.9610496717071378,0.00956706635479514,-0.3352729273881716,0.4649417311947196
0,0,hysteresis,104,465,2.3930645766031438,2.333876725179405,0.08172043010752689,0.0,0.06666666666666667,0.008602150537634409,0.018527414383381062,0.03224480975435447,0.5473812435740407,0.0967741935483871,0.9750398531432042,0.023649894336496318,-0.3122461023505405,0.603109501590406
0,0,hysteresis,105,460,2.416704903126006,2.336548372249013,0.09565217391304348,0.0,0.07608695652173914,0.013043478260869565,0.022791758066588456,0.020103874653972165,0.47524930589502584,0.08571428571428572,0.9655019652234613,0.016405465783361668,-0.3438349339206168,0.5446158414580178
0,0,hysteresis,106,454,2.448326293609268,2.355822047915477,0.09030837004405286,0.0,0.06387665198237885,0.015418502202643172,0.01733190942747794,0.01194426291829288,0.48061543957395964,0.034482758620689655,0.9530320118784437,0.02243691414526333,-0.31746881340015776,0.48561832660748383
0,0,hysteresis,107,465,2.3906429269840443,2.3373635889090703,0.08817204301075268,0.0,0.07096774193548387,0.010752688172043012,0.029675483465236387,0.07465954242418543,0.5172732513425697,0.06060606060606061,0.9760275392850027,0.017422164786956944,-0.326573550262657,0.609115087599394
0,0,hysteresis,108,462,2.406482017999224,2.348886901364599,0.08441558441558442,0.0,0.06926406926406926,0.008658008658008658,0.029880829702134425,0.056201916041342295,0.442814050641675,0.09375,0.9696034775582044,0.018209963139313754,-0.34795005233161014,0.4891123999233674
0,0,hysteresis,201,455,2.4471044549850847,2.3495446322874547,0.10989010989010989,0.0,0.08571428571428572,0.015384615384615385,0.04323678194989685,0.032303287438168925,0.4229510411114554,0.10256410256410256,0.9535078605165448,0.024162231592214603,-0.33830188302722486,0.4700380609058703
0,0,hysteresis,202,444,2.498888447961972,2.345792008208832,0.09234234234234234,0.0,0.06981981981981981,0.009009009009009009,0.04271930039094116,0.019618837471111615,0.4675695753448877,0.06451612903225806,0.933748497351428,0.022606385125270623,-0.3321533423379197,0.535532094471387
0,0,hysteresis,203,452,2.4548852425803416,2.3377406515711066,0.11061946902654868,0.0,0.084070796460177,0.017699115044247787,0.031736509192171206,0.022539982794785234,0.45704388730227846,0.16216216216216217,0.9504857061590202,0.0068972196176723555,-0.33690059143971496,0.5219075898703434
0,0,hysteresis,204,465,2.39038104003,2.339894115972507,0.10967741935483871,0.002150537634408602,0.08387096774193549,0.01935483870967742,0.009092847774709117,0.038264494023796475,0.41735717189010324,0.02564102564102564,0.9761344715585805,0.017777562069623488,-0.30659582690439846,0.4150966973086618
0,0,hysteresis,205,454,2.4489854677853775,2.3637872184257622,0.12334801762114538,0.0022026431718061676,0.0881057268722467,0.028634361233480177,0.04344707738762183,0.04793215023953224,0.41782241993432867,0.075,0.9527754917400025,0.03394351311404015,-0.3731609274832042,0.4335000906086987
0,0,hysteresis,206,456,2.4414105753581254,2.340387745566197,0.08333333333333333,0.0,0.06578947368421052,0.010964912280701754,0.01920395369567028,0.03090939849813562,0.5216335927834248,0.1,0.9557316400954237,0.010417781143013895,-0.33389579903504996,0.5224031894788311
0,0,hysteresis,207,468,2.3713318777075596,2.327321213973904,0.09615384615384616,0.0,0.08333333333333333,0.008547008547008548,0.04128391693086402,0.006908058098914459,0.48547241356266346,0.15384615384615385,0.9839758640570546,0.02813676138315571,-0.33250556447902513,0.4958531230413189
0,0,hysteresis,208,451,2.467152709339629,2.3387996258939783,0.10421286031042129,0.0,0.07538802660753881,0.013303769401330377,0.026934013273187386,0.036463679538751716,0.47023397629335423,0.029411764705882353,0.9457595893842689,0.024248903762612576,-0.3359665630396311,0.49005078474481106
0,1,raw,101,542,2.051771022640425,2.1811212896265744,0.24538745387453875,0.07749077490774908,0.15682656826568267,0.01107011070110701,0.46458809692384784,0.09974598688615843,0.27594343721233194,0.2,1.1372289147209838,0.009796822007254716,-0.059001822070926746,0.42181993179520605
