r,delta,seed,sample_dt,rule,cycles,mean_N,median_N,integer_fraction,band1,band2,band3,event_R1,event_R2,interval_R,next2_given2,event_Omega
0.0,0.0,201,0.05,raw,476,2.3391426094315455,2.326189645271648,0.1092436974789916,0.0,0.09453781512605042,0.01050420168067227,0.03598134081962937,0.018682336328496366,0.4054808207898618,0.1111111111111111,0.9975164934045538
0.0,0.0,201,0.05,hysteresis,455,2.447103037559156,2.3494089323633425,0.10989010989010989,0.0,0.08571428571428572,0.015384615384615385,0.04302424393080678,0.03200410350548832,0.42258249757287053,0.10256410256410256,0.9535084128131764
0.0,0.0,201,0.2,raw,476,2.3391387423327545,2.3263043624320323,0.10714285714285714,0.0,0.09243697478991597,0.01050420168067227,0.03554747319820594,0.019870293540663043,0.40604199379680517,0.11363636363636363,0.9975181425135855
0.0,0.0,201,0.2,hysteresis,455,2.4470989919788817,2.3491002381505646,0.10989010989010989,0.0,0.08351648351648351,0.015384615384615385,0.04270573916049687,0.033174083796046,0.42246058931587677,0.10526315789473684,0.9535099891673978
0.0,1.0,201,0.05,raw,537,2.074214698832161,2.2324992718411445,0.19180633147113593,0.054003724394785846,0.12104283054003724,0.01675977653631285,0.39851290086613356,0.04162711647316541,0.2702124640435263,0.1076923076923077,1.124923728795801
0.0,1.0,201,0.05,hysteresis,495,2.248862761673608,2.2731505897704833,0.18383838383838383,0.028282828282828285,0.13131313131313133,0.022222222222222223,0.3853449896289885,0.06240191334088626,0.2950721563276841,0.16923076923076924,1.0375614613302868
0.0,1.0,201,0.2,raw,534,2.0858618854778785,2.235328072797587,0.19288389513108614,0.054307116104868915,0.1198501872659176,0.018726591760299626,0.396395385776925,0.043733431579914404,0.2702871117123177,0.109375,1.1186422982165753
0.0,1.0,201,0.2,hysteresis,494,2.2534229714062284,2.2743099529063233,0.18218623481781376,0.02834008097165992,0.12955465587044535,0.022267206477732792,0.38109405442599975,0.06421059673395631,0.2995114473626332,0.171875,1.0354617676934559
0.0,1.5,201,0.05,raw,592,1.8815899800424516,2.1400462456526896,0.23141891891891891,0.10304054054054054,0.11655405405405406,0.010135135135135136,0.5484977455370945,0.13746955011604142,0.2730714314116837,0.17391304347826086,1.2400859688255197
0.0,1.5,201,0.05,hysteresis,533,2.0898710472516537,2.2039019175133867,0.24765478424015008,0.075046904315197,0.14821763602251406,0.0225140712945591,0.5460647404994209,0.15617138363878458,0.29127835115020007,0.20253164556962025,1.1164963199054088
0.0,1.5,201,0.2,raw,590,1.8866799889666153,2.1411840998520892,0.22372881355932203,0.09830508474576272,0.1152542372881356,0.010169491525423728,0.5434198535453135,0.13096633557628015,0.2692656985232576,0.17647058823529413,1.2367403836256101
0.0,1.5,201,0.2,hysteresis,529,2.1042366606621985,2.2073132175572736,0.24196597353497165,0.06994328922495274,0.14933837429111532,0.022684310018903593,0.5384749161124177,0.153580378558054,0.2919189233828417,0.22784810126582278,1.1088740049795724
0.0,2.0,201,0.05,raw,668,1.6675561234305578,1.9896616662487165,0.26497005988023953,0.15119760479041916,0.1062874251497006,0.0074850299401197605,0.626688985019316,0.17663800641150648,0.34173837581768707,0.15492957746478872,1.3992532548368535
0.0,2.0,201,0.05,hysteresis,600,1.8565458174193539,2.1042432568403253,0.2816666666666667,0.12333333333333334,0.14666666666666667,0.011666666666666667,0.6524357637503869,0.2170265417769892,0.35662363671284575,0.20454545454545456,1.2568143007516648
0.0,2.0,201,0.2,raw,665,1.6738555815879381,2.0003836291557673,0.2586466165413534,0.14887218045112782,0.10225563909774436,0.007518796992481203,0.6214582832991941,0.16901451940539244,0.33265760177354053,0.16176470588235295,1.393987246569843
0.0,2.0,201,0.2,hysteresis,597,1.8645124987537334,2.105450193998665,0.27638190954773867,0.12060301507537688,0.1440536013400335,0.011725293132328308,0.6461509516701489,0.20903827673750036,0.3477675167542862,0.20930232558139536,1.2514441897777389
0.0,3.0,201,0.05,raw,807,1.3792825159679976,1.1107769504450546,0.3420074349442379,0.26270136307311026,0.07434944237918216,0.004956629491945477,0.7547785106060967,0.31872249618011805,0.46377473335161234,0.08333333333333333,1.6917007982920533
0.0,3.0,201,0.05,hysteresis,732,1.5206024458827516,1.1691247600616728,0.383879781420765,0.2540983606557377,0.12431693989071038,0.00546448087431694,0.7855022309112757,0.380027390893462,0.5354190971345284,0.17582417582417584,1.5344795345102642
0.0,3.0,201,0.2,raw,804,1.3844295330402214,1.1139244995120012,0.3358208955223881,0.25870646766169153,0.07213930348258707,0.004975124378109453,0.7487647892347837,0.3101652887371684,0.4553994324389953,0.06896551724137931,1.6854114114492411
0.0,3.0,201,0.2,hysteresis,728,1.5289578908850796,1.1761980353589965,0.37637362637362637,0.24725274725274726,0.12362637362637363,0.005494505494505495,0.7804643965769958,0.37160615375558914,0.5261092055806483,0.15555555555555556,1.5260939148445865
0.0,4.0,201,0.05,raw,931,1.1955572488274588,1.0404778451488061,0.3802363050483351,0.3276047261009667,0.05263157894736842,0.0,0.8045849257377559,0.42038367080033434,0.5209257299012873,0.14285714285714285,1.9516700982924462
0.0,4.0,201,0.05,hysteresis,866,1.2852930700443006,1.0600725199483259,0.43187066974595845,0.3394919168591224,0.09122401847575058,0.0011547344110854503,0.8351099964980647,0.4840927077289518,0.6080653942231148,0.12658227848101267,1.8154095651141338
0.0,4.0,201,0.2,raw,928,1.1994223699707107,1.0412403522984035,0.38254310344827586,0.3275862068965517,0.05495689655172414,0.0,0.8000752866254967,0.4129190646464213,0.5158487590528725,0.13725490196078433,1.945380869785105
0.0,4.0,201,0.2,hysteresis,864,1.2882684714500228,1.0610440767742015,0.42939814814814814,0.33796296296296297,0.09027777777777778,0.0011574074074074073,0.8293585993372304,0.4730146125107131,0.597548586252616,0.1282051282051282,1.811216671868891
0.5,0.0,201,0.05,raw,475,2.339552705406989,2.325744526557383,0.14105263157894737,0.002105263157894737,0.11578947368421053,0.018947368421052633,0.018257997345401497,0.03926169950459594,0.33346642883391553,0.07272727272727272,0.9973416405369785
0.5,0.0,201,0.05,hysteresis,452,2.458600741301593,2.3346042193054606,0.14380530973451328,0.0,0.1172566371681416,0.015486725663716814,0.02392110307440508,0.033428361628731446,0.34810879906238623,0.07547169811320754,0.9490493084688721
0.5,0.0,201,0.2,raw,475,2.3395531927793543,2.3264637405451767,0.13894736842105262,0.002105263157894737,0.11578947368421053,0.018947368421052633,0.01787249478843041,0.03954471632578662,0.3345377040606539,0.07272727272727272,0.9973414327721986
0.5,0.0,201,0.2,hysteresis,452,2.4586012534738795,2.334854258345022,0.14380530973451328,0.0,0.1172566371681416,0.015486725663716814,0.02399705582994275,0.03312783715005831,0.34871192726511047,0.07547169811320754,0.9490491107642817
0.5,1.0,201,0.05,raw,523,2.1253938654488795,2.247220315141222,0.20076481835564053,0.05162523900573614,0.12810707456978968,0.021032504780114723,0.36023057072396164,0.08853903656000262,0.23983949692095788,0.1044776119402985,1.0978357335385165
0.5,1.0,201,0.05,hysteresis,480,2.315793732562008,2.3010481938081693,0.19375,0.014583333333333334,0.13541666666666666,0.0375,0.3350379684474867,0.09860218026464501,0.26144670919592616,0.09230769230769231,1.0075739045860188
0.5,1.0,201,0.2,raw,523,2.125386048213224,2.2480050726108884,0.20076481835564053,0.05162523900573614,0.12810707456978968,0.021032504780114723,0.35474994003756416,0.08744214449828122,0.2409642972463183,0.1044776119402985,1.0978397714123171
