r,delta,omega,seed,rule,cycles,mean_N,median_N,integer_fraction,band1,band2,band3,event_R1,event_R2,interval_R,next2_given2,event_Omega,Q1,Q2,Q3,phase_drift2
0.0,0.0,1.9,101,raw,483,1.8748218093247415,1.8754828783804682,0.32298136645962733,0.008281573498964804,0.31262939958592134,0.002070393374741201,0.030378512945316544,0.05588675983718668,0.49209977758865225,0.3708609271523179,1.0134296446467768,0.003899915012808683,0.028895641852007378,0.00040524196209379583,0.12666881243594963
0.0,0.0,1.925,101,raw,483,1.8994905173421726,1.9001602846749484,0.36645962732919257,0.008281573498964804,0.35610766045548653,0.002070393374741201,0.09076406677763205,0.013600091589077247,0.487583232441041,0.4186046511627907,1.0134296446467768,0.0043739136481660435,0.07489780191906316,0.006639792499242181,0.1016688124359495
0.0,0.0,1.95,101,raw,483,1.9241592253596034,1.924837690969428,0.40993788819875776,0.010351966873706004,0.39751552795031053,0.002070393374741201,0.08971857383942956,0.04133951867304756,0.48315868288973807,0.4427083333333333,1.0134296446467768,0.005292147592504006,0.08535307257573245,0.007789182763779658,0.07666881243594958
0.0,0.0,1.975,101,raw,483,1.9488279333770342,1.9495150972639084,0.41821946169772256,0.010351966873706004,0.4057971014492754,0.002070393374741201,0.025849815656827112,0.05603461136950902,0.4788275818848477,0.4744897959183674,1.0134296446467768,0.007137413540506155,0.040270080164250044,0.003664300841467777,0.05166881243594945
0.0,0.0,2.0,101,raw,483,1.9734966413944646,1.9741925035583878,0.4451345755693582,0.010351966873706004,0.42857142857142855,0.006211180124223602,0.08522564842441833,0.019302656637459555,0.47459019250172757,0.4975845410628019,1.0134296446467768,0.004078089500133823,0.08758995169819976,0.012187151206610843,0.02666881243594954
0.0,0.0,2.025,101,raw,483,1.9981653494118956,1.9988699098528675,0.4306418219461698,0.008281573498964804,0.4140786749482402,0.006211180124223602,0.13348848181237502,0.04086543134105453,0.47044537830462635,0.445,1.0134296446467768,0.003785674931336953,0.1480423860114122,0.009857459975058037,0.0016688124359496292
0.0,0.0,2.05,101,raw,483,2.0228340574293266,2.0235473161473476,0.4306418219461698,0.010351966873706004,0.4057971014492754,0.012422360248447204,0.03343177769822731,0.09129314493099278,0.46639043624688725,0.413265306122449,1.0134296446467768,0.009895207390216815,0.0391352487795115,0.02883756472169631,-0.023331187564050282
0.0,0.0,2.075,101,raw,483,2.0475027654467572,2.0482247224418275,0.40372670807453415,0.008281573498964804,0.37888198757763975,0.014492753623188406,0.06481923140621257,0.08294015667199225,0.46242097971140145,0.3770491803278688,1.0134296446467768,0.00846789684715744,0.05300979861067191,0.011351126387324282,-0.04833118756405064
0.0,0.0,2.1,101,raw,483,2.0721714734641883,2.0729021287363074,0.38716356107660455,0.008281573498964804,0.36024844720496896,0.016563146997929608,0.04039234539907357,0.03847806308624955,0.45853087758698197,0.3735632183908046,1.0134296446467768,0.0025614995837095716,0.043258026427165586,0.01490502150486611,-0.07333118756405055
0.0,0.0,2.125,101,raw,483,2.096840181481619,2.0975795350307873,0.3498964803312629,0.008281573498964804,0.3250517598343685,0.014492753623188406,0.06373479214122381,0.031996059974328646,0.45471225333193993,0.3375796178343949,1.0134296446467768,0.0037365566710623084,0.05432459502191589,0.0015261550151562863,-0.09833118756405046
0.0,0.0,2.15,101,raw,483,2.1215088894990495,2.1222569413252668,0.3084886128364389,0.008281573498964804,0.2815734989648033,0.016563146997929608,0.015624796056941581,0.0540200545407782,0.45095554586471703,0.2867647058823529,1.0134296446467768,0.0028138820074697676,0.014172597608443398,0.00982717094211197,-0.12333118756405037
0.0,0.0,2.175,101,raw,483,2.1461775975164805,2.1469343476197467,0.29606625258799174,0.008281573498964804,0.2650103519668737,0.020703933747412008,0.022341780158864625,0.023549876334461192,0.44724963192348954,0.28125,1.0134296446467768,0.005606189731791491,0.001549599968613077,0.020071079227861034,-0.14833118756405028
0.0,0.0,2.2,101,raw,483,2.1708463055339116,2.171611753914227,0.2505175983436853,0.008281573498964804,0.2236024844720497,0.016563146997929608,0.06014972385410119,0.038858598817742535,0.4435820073399899,0.23148148148148148,1.0134296446467768,0.009811152680620158,0.03485283969852586,0.013290307148955828,-0.17333118756405064
0.0,0.0,2.225,101,raw,483,2.195515013551342,2.196289160208707,0.2194616977225673,0.006211180124223602,0.19461697722567287,0.016563146997929608,0.03544198358422838,0.017801352713175917,0.43993902256700884,0.23404255319148937,1.0134296446467768,0.0012532704042199784,0.03830380020407346,0.015673939263640777,-0.19833118756405055
0.0,0.0,2.25,101,raw,483,2.220183721568773,2.2209665665031864,0.18426501035196688,0.006211180124223602,0.16149068322981366,0.016563146997929608,0.03518920148621035,0.0058205010725852655,0.43630616586968457,0.16666666666666666,1.0134296446467768,0.006758780209772766,0.027229274223544323,0.010218447681495484,-0.22333118756405046
0.0,0.0,2.275,101,raw,483,2.244852429586204,2.245643972797666,0.16356107660455488,0.006211180124223602,0.13664596273291926,0.016563146997929608,0.0478166525052554,0.020723592579578436,0.4326683859133591,0.13636363636363635,1.0134296446467768,0.0036102689310891765,0.04068379576139176,0.010867539765092884,-0.24833118756405037
0.0,0.0,2.3,101,raw,483,2.2695211376036344,2.2703213790921457,0.14906832298136646,0.006211180124223602,0.12422360248447205,0.014492753623188406,0.017230295232740417,0.020157107373013572,0.4290104441162618,0.11666666666666667,1.0134296446467768,0.002123771155079987,0.015848328432831505,0.005245705156045594,-0.2733311875640503
0.0,0.0,2.325,101,raw,483,2.294189845621066,2.294998785386626,0.12215320910973085,0.004140786749482402,0.10144927536231885,0.012422360248447204,0.03129058242598466,0.037171861382350166,0.4253172861260993,0.16326530612244897,1.0134296446467768,0.004063083180313621,0.0018247926586499237,0.016633394266593805,-0.29833118756405064
0.0,0.0,2.3333333333333335,101,raw,483,2.3024127482935426,2.303224587484786,0.12836438923395446,0.004140786749482402,0.10351966873706005,0.016563146997929608,0.022663311513795092,0.008840308153045748,0.4240758795542253,0.16,1.0134296446467768,0.0045041867903131555,0.028976999107313304,0.009586289810192036,-0.30666452089738394
0.0,0.0,2.35,101,raw,483,2.3188585536384965,2.319676191681106,0.11180124223602485,0.004140786749482402,0.08695652173913043,0.016563146997929608,0.028231586296616477,0.04289027559646724,0.4215744211485806,0.14285714285714285,1.0134296446467768,0.0063275842768714076,0.006645436735061977,0.03927415516571067,-0.32333118756405055
