r,delta,time,median_distance,distance_q10,distance_q90,median_phase_error,Q2_perturbed,Q2_reference
0.5,0.0,0.0,1.0,1.0,1.0,0.19999999999999996,0.07385931625126745,0.08018938673138153
0.5,0.0,1.0,0.9816627662162014,0.928525128352361,1.043043574905352,0.19613041982353205,0.05845924010426403,0.06670390064680186
0.5,0.0,2.0,0.9559979080648437,0.8862077867780884,1.044187609159976,0.19374198024018086,0.0875371219307373,0.10031161693959233
0.5,0.0,5.0,0.887040965396139,0.7782670929835201,1.008264607622122,0.16100989951802236,0.08433335474480344,0.10702162932121416
0.5,0.0,10.0,0.8020396310630331,0.6628486229818841,0.930466214253083,0.1339029185910834,0.07066273074278559,0.07746625324948432
0.5,0.0,20.0,0.6314463267078416,0.511991717515602,0.7881929450951137,0.09147670584525652,0.08753711878103317,0.08459142067794667
0.5,0.0,40.0,0.39865890693838935,0.28518673322314025,0.5507747729746345,0.047020997758462135,0.10597772202930654,0.11370407831204239
0.5,0.0,80.0,0.14914482494042014,0.10270768052184338,0.259352064540674,0.014578891254003357,0.1251733243109724,0.1267327483294804
0.5,0.0,120.0,0.05822481399256993,0.0358118790756926,0.11114806545257455,0.005536598815872651,0.10212616129532796,0.10259054621567057
0.5,0.0,160.0,0.024538323402024092,0.01329624410304858,0.04681184484320846,0.00218328699421666,0.1007359848335461,0.10100825935183569
0.5,1.5,0.0,1.0,1.0,1.0,0.19999999999999996,0.0560325748198589,0.06083481461564664
0.5,1.5,1.0,0.9850102830176877,0.9370373843080023,1.0406658965300926,0.17307556170877902,0.08595990932951969,0.08117410653989703
0.5,1.5,2.0,0.9596494797276371,0.8925990500305642,1.0548352593372015,0.12903824451145718,0.021712815103116623,0.04098745465762649
0.5,1.5,5.0,0.884966414373364,0.7800026061070716,1.0082774881155663,0.16058114590368022,0.1093290607982011,0.1299210062998943
0.5,1.5,10.0,0.7850286301312845,0.6614327156731706,0.9237033347983611,0.12632551241558354,0.03361907101249383,0.03380093831664931
0.5,1.5,20.0,0.6215746401601776,0.49034637767489375,0.8010717612260709,0.08353786683897946,0.13195387082762558,0.12774457105438966
0.5,1.5,40.0,0.3849713086358743,0.27259553357855915,0.5823733322648558,0.04691658422291922,0.13867740526865693,0.141803030062119
0.5,1.5,80.0,0.14612221805975004,0.09510018447150509,0.26842095510076436,0.016169187039267563,0.052159869962373574,0.05137886026792709
0.5,1.5,120.0,0.05825646305568098,0.02995368298302393,0.10986842542018344,0.006035801031306964,0.05430008418284236,0.05243495642005407
0.5,1.5,160.0,0.02407232121501587,0.011564669401227955,0.04909551830345775,0.002298709129250842,0.026004723560479982,0.025609788506001315
0.5,2.0,0.0,1.0,1.0,1.0,0.19999999999999996,0.0528706396492031,0.057401887598548716
0.5,2.0,1.0,0.9869427153499171,0.9311962206382086,1.0412695002686168,0.1628573503556115,0.0743916602677601,0.10351897797085598
0.5,2.0,2.0,0.9606205966905578,0.8809215486777117,1.056888742708657,0.11576518796896207,0.04813440246204546,0.03362624852303481
0.5,2.0,5.0,0.8848749100539582,0.7813887503223546,1.0169755518583536,0.15425203880763413,0.09491069301121549,0.10887107656318629
0.5,2.0,10.0,0.7853853915032287,0.6566193726380961,0.9571633991112578,0.12387229461988747,0.029478493672470952,0.04007396356018456
0.5,2.0,20.0,0.6268161133893291,0.49673086464613303,0.8275031670575126,0.0792760289157508,0.14137543157617444,0.14984946295088963
0.5,2.0,40.0,0.38569781632397904,0.27406775439362985,0.6104186880255045,0.04248657672332054,0.14488100347597457,0.15326097922486742
0.5,2.0,80.0,0.1524439932418168,0.08882281229421973,0.3014373103271114,0.016904743752165885,0.04151742861765271,0.04240272700957247
0.5,2.0,120.0,0.06156197252858224,0.030977012952219392,0.11495978232626852,0.006441398635340656,0.0760936079617348,0.07717090453247946
0.5,2.0,160.0,0.025198268912017773,0.011932501424468542,0.05670943705011575,0.0024121210578949004,0.024266350955559714,0.02435846177755191
0.5,4.0,0.0,1.0,1.0,1.0,0.19999999999999996,0.029143297789242826,0.03164100746743732
0.5,4.0,1.0,0.9835967804089905,0.9245276513536811,1.0587853354348116,0.12976698920382185,0.12750758695395603,0.13232463118835405
0.5,4.0,2.0,0.9635770698646597,0.8745211717092701,1.059876188083689,0.09870017683724641,0.09276507983422003,0.10851590130874599
0.5,4.0,5.0,0.8956861376663012,0.7687721845175172,1.0182506902644282,0.14100273390867962,0.0824562869325239,0.08723498754567632
0.5,4.0,10.0,0.7992488563061764,0.6546913848123069,0.9848895844939671,0.11957057487995885,0.042405470012060124,0.04396793184148044
0.5,4.0,20.0,0.6379044006310259,0.4881018357503042,0.8764035461479407,0.06538391060057047,0.11003780143893102,0.11452009734642236
0.5,4.0,40.0,0.4063902705380106,0.2740935102844395,0.6798846993012534,0.045474809607097155,0.11423848991656821,0.11491107252908395
0.5,4.0,80.0,0.17461448910357713,0.10030043716413815,0.3596812123102034,0.01711724481911997,0.06461807487978288,0.06323914653016229
0.5,4.0,120.0,0.07425817237907181,0.03779271408153122,0.15420484282897579,0.007962236994506489,0.059437251153425415,0.05972338177625439
0.5,4.0,160.0,0.02957933351065277,0.01375140542726152,0.09034639858920766,0.0036142858008089973,0.048555419818190004,0.039568154093553624
0.0,0.0,0.0,1.0,1.0,1.0,0.19999999999999998,0.044968607998002716,0.04882261684165378
0.0,0.0,1.0,0.9732953200306848,0.9570049996335874,0.9939910286034528,0.19705811127570566,0.036397581304958355,0.038926777261899935
0.0,0.0,2.0,0.9509606789229355,0.9316299810257731,0.9699667400912673,0.1923741726280286,0.04803204876533198,0.05658551037476702
0.0,0.0,5.0,0.88373688848694,0.8637662087923229,0.901178941830668,0.17123726603278555,0.026114694197822214,0.02461536532992234
0.0,0.0,10.0,0.7774909626808107,0.7692201536628412,0.7885763684034972,0.14125647577273096,0.01913944456709527,0.039047441605533084
0.0,0.0,20.0,0.6061686607166354,0.5941710383199016,0.6190888440533701,0.10520727215500833,0.09059296465544661,0.07709386758640314
0.0,0.0,40.0,0.3682097176970104,0.3617945864579652,0.37407152937883575,0.051557686251838986,0.08619947701194607,0.10368655169374508
0.0,0.0,80.0,0.13544673002048835,0.1323977774654738,0.13834059081930694,0.018376488741721486,0.08974394674578746,0.09018162670331524
0.0,0.0,120.0,0.04969007879279428,0.049151268309872286,0.05041637588509642,0.0059198164565041345,0.12840812974307525,0.12912409924222235
0.0,0.0,160.0,0.018317869894997417,0.018207298720179947,0.01842194759607292,0.0018913346499332961,0.0858002541803245,0.08580843377114043
0.0,1.5,0.0,1.0,1.0,1.0,0.19999999999999996,0.04655347990965073,0.05054331929454828
0.0,1.5,1.0,0.9792821595968572,0.9569681219869628,0.9943884578991513,0.1545094066518163,0.11430185113502289,0.14859574891296848
0.0,1.5,2.0,0.9505655213401158,0.9327494888061652,0.9707711357341783,0.11339497042417891,0.10884997222133876,0.09716332840662034
0.0,1.5,5.0,0.8817111290228629,0.8644972050285443,0.9015998493268096,0.1547274786018631,0.09989103613372513,0.0998397829763876
0.0,1.5,10.0,0.7809274089520704,0.7694303594492343,0.788513078267885,0.13160011550895445,0.03742931068102973,0.02893990466368036
0.0,1.5,20.0,0.6095542218824508,0.5939873129063996,0.6192893437726035,0.0865699201552188,0.11881659962891757,0.12112401194581535
0.0,1.5,40.0,0.3672864147405446,0.361874135440328,0.3741822026956822,0.04438584547724367,0.07536701617455471,0.08375361214531693
0.0,1.5,80.0,0.1357071635713391,0.13229045829576078,0.13836615953884154,0.01661381957932928,0.0365700123845796,0.035805696429975206
0.0,1.5,120.0,0.049916525205610116,0.049168174171925774,0.05041170406287066,0.006368068483778799,0.05942432946550536,0.05921182928061219
0.0,1.5,160.0,0.018296075480144287,0.01819930683662365,0.018415459075626583,0.002260670598729555,0.04681849915731584,0.04675197213067725
0.0,2.0,0.0,1.0,1.0,1.0,0.19999999999999996,0.023842604866832654,0.02588602168813292
0.0,2.0,1.0,0.9805506441553449,0.9574978924721014,0.9944414249561481,0.1393733662682936,0.1370156207865417,0.19407110596214974
0.0,2.0,2.0,0.9495113651280069,0.932136758945237,0.970806556070339,0.09909051477787045,0.11862061464294163,0.10546511157132228
0.0,2.0,5.0,0.8816233987545522,0.8638024655568008,0.9010226617638297,0.14920876927682414,0.09863945774522306,0.1107264773774154
0.0,2.0,10.0,0.7819811317733202,0.7696831420549681,0.7886655728025302,0.12544995413654897,0.052440462859528164,0.05543723840373771
0.0,2.0,20.0,0.6093869802606269,0.594373266150427,0.6192830834048901,0.07515822016285628,0.12441477736893931,0.12652768049966856
0.0,2.0,40.0,0.3669128322101344,0.36173820408920526,0.3739888059728255,0.04374410509295412,0.06935095727152776,0.07209354903046375
0.0,2.0,80.0,0.1358106094288707,0.13235418752338599,0.13835567139588523,0.017057484325576522,0.020325266669223702,0.019406082216011422
0.0,2.0,120.0,0.04997787240215282,0.04918539936508458,0.050422081714360106,0.006427053162540108,0.08049265971248978,0.08076530580821595
0.0,2.0,160.0,0.018277559972152555,0.018199437839272414,0.018412454620534573,0.00241953764632441,0.05117358058066328,0.05115686283945028
0.0,4.0,0.0,1.0,1.0,1.0,0.19999999999999996,0.021176249791153966,0.022991148174747355
0.0,4.0,1.0,0.9820943206204829,0.9570028684976852,0.9945729432040533,0.0976931906734742,0.14425227261687398,0.12687872144859433
0.0,4.0,2.0,0.9447399800536251,0.9316841505451006,0.9687290996841335,0.09670520738075289,0.09341449267784398,0.11119337641500708
