seed,delta,omega,rule,crossings,max_event_time_error
102,2.5,2.3333333333333335,hysteresis,618,4.547473508864641e-13
102,2.5,2.35,raw,710,4.547473508864641e-13
102,2.5,2.35,hysteresis,622,4.547473508864641e-13
102,2.5,2.375,raw,706,9.094947017729282e-13
102,2.5,2.375,hysteresis,622,4.547473508864641e-13
102,2.5,2.4,raw,704,4.547473508864641e-13
102,2.5,2.4,hysteresis,611,4.547473508864641e-13
102,2.5,2.414213562373095,raw,695,4.547473508864641e-13
102,2.5,2.414213562373095,hysteresis,605,4.547473508864641e-13
102,2.5,2.425,raw,697,9.094947017729282e-13
102,2.5,2.425,hysteresis,611,9.094947017729282e-13
102,2.5,2.45,raw,694,4.547473508864641e-13
102,2.5,2.45,hysteresis,611,4.547473508864641e-13
102,2.5,2.475,raw,679,9.094947017729282e-13
102,2.5,2.475,hysteresis,605,9.094947017729282e-13
102,2.5,2.5,raw,668,4.547473508864641e-13
102,2.5,2.5,hysteresis,590,4.547473508864641e-13
102,2.5,2.525,raw,669,9.094947017729282e-13
102,2.5,2.525,hysteresis,590,9.094947017729282e-13
102,2.5,2.55,raw,677,9.094947017729282e-13
102,2.5,2.55,hysteresis,597,9.094947017729282e-13
102,2.5,2.575,raw,674,9.094947017729282e-13
102,2.5,2.575,hysteresis,585,9.094947017729282e-13
102,2.5,2.6,raw,671,4.547473508864641e-13
102,2.5,2.6,hysteresis,584,4.547473508864641e-13
103,2.5,1.9,raw,799,4.547473508864641e-13
103,2.5,1.9,hysteresis,749,4.547473508864641e-13
103,2.5,1.925,raw,790,4.547473508864641e-13
103,2.5,1.925,hysteresis,729,4.547473508864641e-13
103,2.5,1.95,raw,801,9.094947017729282e-13
103,2.5,1.95,hysteresis,752,9.094947017729282e-13
103,2.5,1.975,raw,802,4.547473508864641e-13
103,2.5,1.975,hysteresis,749,4.547473508864641e-13
103,2.5,2.0,raw,771,9.094947017729282e-13
103,2.5,2.0,hysteresis,715,9.094947017729282e-13
103,2.5,2.025,raw,797,2.2737367544323206e-13
103,2.5,2.025,hysteresis,740,2.2737367544323206e-13
103,2.5,2.05,raw,786,9.094947017729282e-13
103,2.5,2.05,hysteresis,719,4.547473508864641e-13
103,2.5,2.075,raw,792,9.094947017729282e-13
103,2.5,2.075,hysteresis,720,4.547473508864641e-13
103,2.5,2.1,raw,780,9.094947017729282e-13
103,2.5,2.1,hysteresis,709,9.094947017729282e-13
103,2.5,2.125,raw,780,4.547473508864641e-13
103,2.5,2.125,hysteresis,717,4.547473508864641e-13
103,2.5,2.15,raw,772,4.547473508864641e-13
103,2.5,2.15,hysteresis,712,4.547473508864641e-13
103,2.5,2.175,raw,768,9.094947017729282e-13
103,2.5,2.175,hysteresis,702,9.094947017729282e-13
103,2.5,2.2,raw,771,9.094947017729282e-13
103,2.5,2.2,hysteresis,693,9.094947017729282e-13
103,2.5,2.225,raw,769,9.094947017729282e-13
103,2.5,2.225,hysteresis,688,9.094947017729282e-13
103,2.5,2.25,raw,751,4.547473508864641e-13
103,2.5,2.25,hysteresis,678,4.547473508864641e-13
103,2.5,2.275,raw,760,4.547473508864641e-13
103,2.5,2.275,hysteresis,683,4.547473508864641e-13
103,2.5,2.3,raw,744,4.547473508864641e-13
103,2.5,2.3,hysteresis,671,4.547473508864641e-13
103,2.5,2.325,raw,753,4.547473508864641e-13
103,2.5,2.325,hysteresis,673,4.547473508864641e-13
103,2.5,2.3333333333333335,raw,752,9.094947017729282e-13
103,2.5,2.3333333333333335,hysteresis,681,4.547473508864641e-13
103,2.5,2.35,raw,738,9.094947017729282e-13
103,2.5,2.35,hysteresis,663,9.094947017729282e-13
103,2.5,2.375,raw,750,9.094947017729282e-13
103,2.5,2.375,hysteresis,662,9.094947017729282e-13
103,2.5,2.4,raw,752,9.094947017729282e-13
103,2.5,2.4,hysteresis,657,9.094947017729282e-13
103,2.5,2.414213562373095,raw,741,4.547473508864641e-13
103,2.5,2.414213562373095,hysteresis,658,4.547473508864641e-13
103,2.5,2.425,raw,722,4.547473508864641e-13
103,2.5,2.425,hysteresis,653,4.547473508864641e-13
103,2.5,2.45,raw,725,9.094947017729282e-13
103,2.5,2.45,hysteresis,642,9.094947017729282e-13
103,2.5,2.475,raw,735,9.094947017729282e-13
103,2.5,2.475,hysteresis,644,4.547473508864641e-13
103,2.5,2.5,raw,724,9.094947017729282e-13
103,2.5,2.5,hysteresis,641,9.094947017729282e-13
103,2.5,2.525,raw,740,4.547473508864641e-13
103,2.5,2.525,hysteresis,635,4.547473508864641e-13
103,2.5,2.55,raw,721,4.547473508864641e-13
103,2.5,2.55,hysteresis,633,4.547473508864641e-13
103,2.5,2.575,raw,715,4.547473508864641e-13
103,2.5,2.575,hysteresis,627,4.547473508864641e-13
103,2.5,2.6,raw,719,9.094947017729282e-13
103,2.5,2.6,hysteresis,622,9.094947017729282e-13
104,2.5,1.9,raw,761,9.094947017729282e-13
104,2.5,1.9,hysteresis,706,9.094947017729282e-13
104,2.5,1.925,raw,758,4.547473508864641e-13
104,2.5,1.925,hysteresis,700,4.547473508864641e-13
104,2.5,1.95,raw,753,9.094947017729282e-13
104,2.5,1.95,hysteresis,689,4.547473508864641e-13
104,2.5,1.975,raw,743,9.094947017729282e-13
104,2.5,1.975,hysteresis,685,4.547473508864641e-13
104,2.5,2.0,raw,742,9.094947017729282e-13
104,2.5,2.0,hysteresis,688,9.094947017729282e-13
104,2.5,2.025,raw,739,4.547473508864641e-13
104,2.5,2.025,hysteresis,683,4.547473508864641e-13
104,2.5,2.05,raw,739,2.2737367544323206e-13
104,2.5,2.05,hysteresis,675,2.2737367544323206e-13
104,2.5,2.075,raw,720,9.094947017729282e-13
104,2.5,2.075,hysteresis,666,9.094947017729282e-13
104,2.5,2.1,raw,737,4.547473508864641e-13
104,2.5,2.1,hysteresis,667,4.547473508864641e-13
104,2.5,2.125,raw,717,9.094947017729282e-13
104,2.5,2.125,hysteresis,646,9.094947017729282e-13
104,2.5,2.15,raw,714,4.547473508864641e-13
104,2.5,2.15,hysteresis,657,4.547473508864641e-13
104,2.5,2.175,raw,711,2.2737367544323206e-13
104,2.5,2.175,hysteresis,654,2.2737367544323206e-13
104,2.5,2.2,raw,713,9.094947017729282e-13
104,2.5,2.2,hysteresis,638,9.094947017729282e-13
104,2.5,2.225,raw,708,9.094947017729282e-13
104,2.5,2.225,hysteresis,641,9.094947017729282e-13
104,2.5,2.25,raw,713,9.094947017729282e-13
104,2.5,2.25,hysteresis,633,9.094947017729282e-13
104,2.5,2.275,raw,705,9.094947017729282e-13
104,2.5,2.275,hysteresis,617,9.094947017729282e-13
104,2.5,2.3,raw,693,4.547473508864641e-13
104,2.5,2.3,hysteresis,623,4.547473508864641e-13
104,2.5,2.325,raw,688,9.094947017729282e-13
104,2.5,2.325,hysteresis,617,9.094947017729282e-13
104,2.5,2.3333333333333335,raw,686,9.094947017729282e-13
104,2.5,2.3333333333333335,hysteresis,614,9.094947017729282e-13
104,2.5,2.35,raw,681,9.094947017729282e-13
104,2.5,2.35,hysteresis,610,4.547473508864641e-13
104,2.5,2.375,raw,671,9.094947017729282e-13
104,2.5,2.375,hysteresis,602,9.094947017729282e-13
104,2.5,2.4,raw,676,4.547473508864641e-13
104,2.5,2.4,hysteresis,596,4.547473508864641e-13
104,2.5,2.414213562373095,raw,688,4.547473508864641e-13
104,2.5,2.414213562373095,hysteresis,608,4.547473508864641e-13
104,2.5,2.425,raw,684,4.547473508864641e-13
104,2.5,2.425,hysteresis,596,4.547473508864641e-13
104,2.5,2.45,raw,684,4.547473508864641e-13
104,2.5,2.45,hysteresis,588,4.547473508864641e-13
104,2.5,2.475,raw,681,9.094947017729282e-13
104,2.5,2.475,hysteresis,589,4.547473508864641e-13
104,2.5,2.5,raw,663,4.547473508864641e-13
104,2.5,2.5,hysteresis,588,2.2737367544323206e-13
104,2.5,2.525,raw,659,4.547473508864641e-13
104,2.5,2.525,hysteresis,585,4.547473508864641e-13
104,2.5,2.55,raw,657,4.547473508864641e-13
104,2.5,2.55,hysteresis,582,4.547473508864641e-13
104,2.5,2.575,raw,654,9.094947017729282e-13
104,2.5,2.575,hysteresis,563,9.094947017729282e-13
104,2.5,2.6,raw,649,4.547473508864641e-13
104,2.5,2.6,hysteresis,573,4.547473508864641e-13
105,2.5,1.9,raw,768,9.094947017729282e-13
105,2.5,1.9,hysteresis,709,9.094947017729282e-13
105,2.5,1.925,raw,779,2.2737367544323206e-13
105,2.5,1.925,hysteresis,714,2.2737367544323206e-13
105,2.5,1.95,raw,767,9.094947017729282e-13
105,2.5,1.95,hysteresis,701,9.094947017729282e-13
105,2.5,1.975,raw,750,9.094947017729282e-13
105,2.5,1.975,hysteresis,697,9.094947017729282e-13
105,2.5,2.0,raw,775,9.094947017729282e-13
105,2.5,2.0,hysteresis,709,9.094947017729282e-13
105,2.5,2.025,raw,751,4.547473508864641e-13
105,2.5,2.025,hysteresis,675,4.547473508864641e-13
105,2.5,2.05,raw,737,9.094947017729282e-13
105,2.5,2.05,hysteresis,688,9.094947017729282e-13
105,2.5,2.075,raw,740,4.547473508864641e-13
105,2.5,2.075,hysteresis,677,4.547473508864641e-13
105,2.5,2.1,raw,736,4.547473508864641e-13
105,2.5,2.1,hysteresis,666,2.2737367544323206e-13
105,2.5,2.125,raw,745,4.547473508864641e-13
105,2.5,2.125,hysteresis,675,4.547473508864641e-13
105,2.5,2.15,raw,727,9.094947017729282e-13
105,2.5,2.15,hysteresis,654,4.547473508864641e-13
105,2.5,2.175,raw,730,9.094947017729282e-13
105,2.5,2.175,hysteresis,666,9.094947017729282e-13
105,2.5,2.2,raw,714,4.547473508864641e-13
105,2.5,2.2,hysteresis,639,4.547473508864641e-13
105,2.5,2.225,raw,720,9.094947017729282e-13
105,2.5,2.225,hysteresis,647,9.094947017729282e-13
105,2.5,2.25,raw,717,9.094947017729282e-13
105,2.5,2.25,hysteresis,649,9.094947017729282e-13
105,2.5,2.275,raw,702,4.547473508864641e-13
105,2.5,2.275,hysteresis,631,4.547473508864641e-13
105,2.5,2.3,raw,703,9.094947017729282e-13
105,2.5,2.3,hysteresis,635,9.094947017729282e-13
105,2.5,2.325,raw,709,4.547473508864641e-13
105,2.5,2.325,hysteresis,633,4.547473508864641e-13
105,2.5,2.3333333333333335,raw,703,4.547473508864641e-13
105,2.5,2.3333333333333335,hysteresis,623,4.547473508864641e-13
105,2.5,2.35,raw,683,4.547473508864641e-13
105,2.5,2.35,hysteresis,617,4.547473508864641e-13
105,2.5,2.375,raw,697,9.094947017729282e-13
105,2.5,2.375,hysteresis,627,9.094947017729282e-13
105,2.5,2.4,raw,696,4.547473508864641e-13
105,2.5,2.4,hysteresis,613,4.547473508864641e-13
105,2.5,2.414213562373095,raw,689,9.094947017729282e-13
105,2.5,2.414213562373095,hysteresis,604,9.094947017729282e-13
105,2.5,2.425,raw,685,4.547473508864641e-13
105,2.5,2.425,hysteresis,611,4.547473508864641e-13
105,2.5,2.45,raw,670,9.094947017729282e-13
105,2.5,2.45,hysteresis,602,9.094947017729282e-13
105,2.5,2.475,raw,674,4.547473508864641e-13
105,2.5,2.475,hysteresis,596,4.547473508864641e-13
105,2.5,2.5,raw,681,4.547473508864641e-13
105,2.5,2.5,hysteresis,604,4.547473508864641e-13
105,2.5,2.525,raw,672,4.547473508864641e-13
105,2.5,2.525,hysteresis,590,4.547473508864641e-13
105,2.5,2.55,raw,655,4.547473508864641e-13
105,2.5,2.55,hysteresis,586,4.547473508864641e-13
105,2.5,2.575,raw,674,2.2737367544323206e-13
105,2.5,2.575,hysteresis,588,2.2737367544323206e-13
105,2.5,2.6,raw,654,4.547473508864641e-13
105,2.5,2.6,hysteresis,581,4.547473508864641e-13
106,2.5,1.9,raw,788,9.094947017729282e-13
106,2.5,1.9,hysteresis,745,9.094947017729282e-13
106,2.5,1.925,raw,787,9.094947017729282e-13
106,2.5,1.925,hysteresis,748,9.094947017729282e-13
106,2.5,1.95,raw,785,4.547473508864641e-13
106,2.5,1.95,hysteresis,738,4.547473508864641e-13
106,2.5,1.975,raw,792,9.094947017729282e-13
106,2.5,1.975,hysteresis,728,9.094947017729282e-13
106,2.5,2.0,raw,780,9.094947017729282e-13
106,2.5,2.0,hysteresis,726,4.547473508864641e-13
106,2.5,2.025,raw,781,4.547473508864641e-13
106,2.5,2.025,hysteresis,726,4.547473508864641e-13
106,2.5,2.05,raw,772,9.094947017729282e-13
106,2.5,2.05,hysteresis,712,9.094947017729282e-13
106,2.5,2.075,raw,772,4.547473508864641e-13
106,2.5,2.075,hysteresis,702,4.547473508864641e-13
106,2.5,2.1,raw,778,9.094947017729282e-13
106,2.5,2.1,hysteresis,707,9.094947017729282e-13
106,2.5,2.125,raw,768,4.547473508864641e-13
106,2.5,2.125,hysteresis,697,4.547473508864641e-13
106,2.5,2.15,raw,777,9.094947017729282e-13
106,2.5,2.15,hysteresis,708,9.094947017729282e-13
106,2.5,2.175,raw,771,4.547473508864641e-13
106,2.5,2.175,hysteresis,691,4.547473508864641e-13
106,2.5,2.2,raw,755,4.547473508864641e-13
106,2.5,2.2,hysteresis,688,4.547473508864641e-13
106,2.5,2.225,raw,763,9.094947017729282e-13
106,2.5,2.225,hysteresis,689,9.094947017729282e-13
106,2.5,2.25,raw,758,9.094947017729282e-13
106,2.5,2.25,hysteresis,680,9.094947017729282e-13
106,2.5,2.275,raw,755,9.094947017729282e-13
106,2.5,2.275,hysteresis,672,9.094947017729282e-13
106,2.5,2.3,raw,745,9.094947017729282e-13
106,2.5,2.3,hysteresis,669,9.094947017729282e-13
106,2.5,2.325,raw,749,9.094947017729282e-13
106,2.5,2.325,hysteresis,672,4.547473508864641e-13
106,2.5,2.3333333333333335,raw,745,9.094947017729282e-13
106,2.5,2.3333333333333335,hysteresis,670,4.547473508864641e-13
106,2.5,2.35,raw,746,9.094947017729282e-13
106,2.5,2.35,hysteresis,650,9.094947017729282e-13
106,2.5,2.375,raw,744,9.094947017729282e-13
106,2.5,2.375,hysteresis,654,9.094947017729282e-13
106,2.5,2.4,raw,730,4.547473508864641e-13
106,2.5,2.4,hysteresis,652,4.547473508864641e-13
106,2.5,2.414213562373095,raw,738,4.547473508864641e-13
106,2.5,2.414213562373095,hysteresis,650,4.547473508864641e-13
106,2.5,2.425,raw,721,9.094947017729282e-13
106,2.5,2.425,hysteresis,640,4.547473508864641e-13
106,2.5,2.45,raw,728,9.094947017729282e-13
106,2.5,2.45,hysteresis,645,9.094947017729282e-13
106,2.5,2.475,raw,725,4.547473508864641e-13
106,2.5,2.475,hysteresis,648,4.547473508864641e-13
106,2.5,2.5,raw,713,9.094947017729282e-13
106,2.5,2.5,hysteresis,637,9.094947017729282e-13
106,2.5,2.525,raw,707,9.094947017729282e-13
106,2.5,2.525,hysteresis,628,9.094947017729282e-13
106,2.5,2.55,raw,708,9.094947017729282e-13
106,2.5,2.55,hysteresis,630,9.094947017729282e-13
106,2.5,2.575,raw,694,9.094947017729282e-13
106,2.5,2.575,hysteresis,621,9.094947017729282e-13
106,2.5,2.6,raw,690,4.547473508864641e-13
106,2.5,2.6,hysteresis,615,4.547473508864641e-13
107,2.5,1.9,raw,734,9.094947017729282e-13
107,2.5,1.9,hysteresis,671,4.547473508864641e-13
107,2.5,1.925,raw,741,9.094947017729282e-13
107,2.5,1.925,hysteresis,677,9.094947017729282e-13
107,2.5,1.95,raw,743,4.547473508864641e-13
107,2.5,1.95,hysteresis,678,4.547473508864641e-13
107,2.5,1.975,raw,754,4.547473508864641e-13
107,2.5,1.975,hysteresis,668,4.547473508864641e-13
107,2.5,2.0,raw,732,9.094947017729282e-13
107,2.5,2.0,hysteresis,650,9.094947017729282e-13
107,2.5,2.025,raw,722,9.094947017729282e-13
107,2.5,2.025,hysteresis,653,4.547473508864641e-13
107,2.5,2.05,raw,704,4.547473508864641e-13
107,2.5,2.05,hysteresis,640,4.547473508864641e-13
107,2.5,2.075,raw,712,9.094947017729282e-13
107,2.5,2.075,hysteresis,641,4.547473508864641e-13
107,2.5,2.1,raw,692,9.094947017729282e-13
107,2.5,2.1,hysteresis,630,9.094947017729282e-13
107,2.5,2.125,raw,698,9.094947017729282e-13
107,2.5,2.125,hysteresis,633,9.094947017729282e-13
107,2.5,2.15,raw,707,4.547473508864641e-13
107,2.5,2.15,hysteresis,619,4.547473508864641e-13
107,2.5,2.175,raw,694,4.547473508864641e-13
107,2.5,2.175,hysteresis,621,4.547473508864641e-13
107,2.5,2.2,raw,694,4.547473508864641e-13
107,2.5,2.2,hysteresis,620,4.547473508864641e-13
107,2.5,2.225,raw,692,4.547473508864641e-13
107,2.5,2.225,hysteresis,617,4.547473508864641e-13
107,2.5,2.25,raw,691,9.094947017729282e-13
107,2.5,2.25,hysteresis,605,9.094947017729282e-13
107,2.5,2.275,raw,685,9.094947017729282e-13
107,2.5,2.275,hysteresis,619,0.0
107,2.5,2.3,raw,678,9.094947017729282e-13
107,2.5,2.3,hysteresis,601,4.547473508864641e-13
107,2.5,2.325,raw,664,9.094947017729282e-13
107,2.5,2.325,hysteresis,603,9.094947017729282e-13
107,2.5,2.3333333333333335,raw,661,4.547473508864641e-13
107,2.5,2.3333333333333335,hysteresis,596,2.2737367544323206e-13
107,2.5,2.35,raw,667,9.094947017729282e-13
107,2.5,2.35,hysteresis,602,9.094947017729282e-13
107,2.5,2.375,raw,667,4.547473508864641e-13
107,2.5,2.375,hysteresis,593,4.547473508864641e-13
107,2.5,2.4,raw,659,4.547473508864641e-13
107,2.5,2.4,hysteresis,593,4.547473508864641e-13
107,2.5,2.414213562373095,raw,657,9.094947017729282e-13
107,2.5,2.414213562373095,hysteresis,589,9.094947017729282e-13
107,2.5,2.425,raw,660,4.547473508864641e-13
107,2.5,2.425,hysteresis,587,4.547473508864641e-13
107,2.5,2.45,raw,650,9.094947017729282e-13
107,2.5,2.45,hysteresis,584,9.094947017729282e-13
107,2.5,2.475,raw,654,9.094947017729282e-13
107,2.5,2.475,hysteresis,580,9.094947017729282e-13
107,2.5,2.5,raw,644,4.547473508864641e-13
107,2.5,2.5,hysteresis,582,4.547473508864641e-13
107,2.5,2.525,raw,644,4.547473508864641e-13
107,2.5,2.525,hysteresis,578,4.547473508864641e-13
107,2.5,2.55,raw,635,4.547473508864641e-13
107,2.5,2.55,hysteresis,564,4.547473508864641e-13
107,2.5,2.575,raw,637,4.547473508864641e-13
107,2.5,2.575,hysteresis,567,4.547473508864641e-13
107,2.5,2.6,raw,641,4.547473508864641e-13
107,2.5,2.6,hysteresis,574,4.547473508864641e-13
108,2.5,1.9,raw,792,9.094947017729282e-13
108,2.5,1.9,hysteresis,740,4.547473508864641e-13
108,2.5,1.925,raw,798,4.547473508864641e-13
108,2.5,1.925,hysteresis,742,4.547473508864641e-13
108,2.5,1.95,raw,786,9.094947017729282e-13
108,2.5,1.95,hysteresis,735,9.094947017729282e-13
108,2.5,1.975,raw,778,9.094947017729282e-13
108,2.5,1.975,hysteresis,721,9.094947017729282e-13
108,2.5,2.0,raw,777,4.547473508864641e-13
108,2.5,2.0,hysteresis,705,4.547473508864641e-13
108,2.5,2.025,raw,770,9.094947017729282e-13
108,2.5,2.025,hysteresis,701,4.547473508864641e-13
108,2.5,2.05,raw,789,9.094947017729282e-13
108,2.5,2.05,hysteresis,724,9.094947017729282e-13
108,2.5,2.075,raw,766,9.094947017729282e-13
108,2.5,2.075,hysteresis,691,9.094947017729282e-13
108,2.5,2.1,raw,774,4.547473508864641e-13
108,2.5,2.1,hysteresis,702,4.547473508864641e-13
108,2.5,2.125,raw,764,9.094947017729282e-13
108,2.5,2.125,hysteresis,696,9.094947017729282e-13
108,2.5,2.15,raw,758,1.3642420526593924e-12
108,2.5,2.15,hysteresis,682,4.547473508864641e-13
