delta,drive_phase_cycles,density,ci_low,ci_high,seeds
0,0.010416666666666666,1.034935580644788,0.9333752351277176,1.1364959261618583,16
0,0.03125,1.0615079829207306,0.9426428871158704,1.1803730787255906,16
0,0.05208333333333333,1.0149935051420516,0.934959297853012,1.0950277124310912,16
0,0.07291666666666666,0.9650264205881032,0.8869435356213079,1.0431093055548986,16
0,0.09375,0.9613982711259975,0.871128367499291,1.0516681747527041,16
0,0.11458333333333333,0.9536535867260493,0.8375124916355289,1.0697946818165698,16
0,0.13541666666666666,0.9461237489736196,0.810614893674449,1.0816326042727902,16
0,0.15625,0.9428498246880391,0.8197942065630617,1.0659054428130166,16
0,0.17708333333333331,0.9106357808907539,0.8351537017609869,0.9861178600205209,16
0,0.19791666666666666,0.9809183916431846,0.9015426928935362,1.060294090392833,16
0,0.21875,0.9598938031362383,0.8141953619536835,1.105592244318793,16
0,0.23958333333333331,0.9280960355718111,0.8293308649529838,1.0268612061906384,16
0,0.26041666666666663,1.0538170417723622,0.9389426326705181,1.1686914508742063,16
0,0.28125,1.038980178088831,0.9147851394233685,1.1631752167542937,16
0,0.3020833333333333,1.0616201425745548,0.9640541537241799,1.1591861314249299,16
0,0.32291666666666663,1.095859346050243,1.0022711707797411,1.189447521320745,16
0,0.34375,1.0609339567233236,0.9695559124172037,1.1523120010294434,16
0,0.3645833333333333,1.0283628537782816,0.920842420042348,1.1358832875142153,16
0,0.38541666666666663,0.9644970991566681,0.8975523171276905,1.0314418811856458,16
0,0.40625,1.0150703746984726,0.901758616443172,1.128382132953773,16
0,0.4270833333333333,1.0501029290621626,0.9877394803521188,1.1124663777722066,16
0,0.44791666666666663,0.9676442729085724,0.8513580374507489,1.083930508366396,16
0,0.46875,0.9837917772579793,0.8232664001227501,1.1443171543932085,16
0,0.4895833333333333,1.0434766414775236,0.9275161013811591,1.1594371815738882,16
0,0.5104166666666666,1.023449020012693,0.9486382657445436,1.0982597742808422,16
0,0.53125,1.0082286507028633,0.9173479539760285,1.099109347429698,16
0,0.5520833333333333,1.0345394298938173,0.9088299966155944,1.1602488631720402,16
0,0.5729166666666666,1.0346898434912006,0.9338414149014302,1.135538272080971,16
0,0.59375,1.0271900092997865,0.9140074158684829,1.1403726027310903,16
0,0.6145833333333333,1.0163138409658121,0.9115069583559869,1.1211207235756373,16
0,0.6354166666666666,1.005493625225077,0.9392141923276521,1.071773058122502,16
0,0.65625,0.9498207357659676,0.845458667442834,1.0541828040891013,16
0,0.6770833333333333,0.9572926644832657,0.8335726746130914,1.08101265435344,16
0,0.6979166666666666,1.004349945435921,0.9205961600487165,1.0881037308231256,16
0,0.71875,1.0806845253662318,0.973241873374757,1.1881271773577067,16
0,0.7395833333333333,0.9927475674585429,0.8998315848276561,1.0856635500894296,16
0,0.7604166666666666,0.9543322686282988,0.8247258424058086,1.083938694850789,16
0,0.78125,0.948071384464982,0.8521464868865858,1.0439962820433781,16
0,0.8020833333333333,0.9071112442806653,0.8170464944174247,0.9971759941439058,16
0,0.8229166666666666,0.9424629256627881,0.8442934770324572,1.040632374293119,16
0,0.84375,1.0627709182294474,0.9581632708205902,1.1673785656383044,16
0,0.8645833333333333,1.0034656737473528,0.892123841082107,1.1148075064125986,16
0,0.8854166666666666,0.9903172784346832,0.9000148412912735,1.0806197155780928,16
0,0.90625,1.0143459576585518,0.8815654631922192,1.1471264521248845,16
0,0.9270833333333333,1.0107365475135988,0.8822118053720744,1.139261289655123,16
0,0.9479166666666666,1.0406156291844229,0.9321598140290319,1.1490714443398138,16
0,0.96875,0.9854386284167433,0.9024143605468464,1.0684628962866403,16
0,0.9895833333333333,0.9813421400769489,0.8846205847084603,1.0780636954454375,16
1,0.010416666666666666,0.4245695480103948,0.3586792935458554,0.4904598024749342,16
1,0.03125,0.4481288395093629,0.37414135791886055,0.5221163210998653,16
1,0.05208333333333333,0.4749775092377394,0.4025048589754901,0.5474501594999888,16
1,0.07291666666666666,0.505450447053285,0.4222618588620946,0.5886390352444754,16
1,0.09375,0.5361618651550145,0.45798806502092027,0.6143356652891088,16
1,0.11458333333333333,0.5689770779392982,0.49170267432231307,0.6462514815562833,16
1,0.13541666666666666,0.5715592772200331,0.4701258341226959,0.6729927203173702,16
1,0.15625,0.6458782016614877,0.5601463784237429,0.7316100248992324,16
1,0.17708333333333331,0.6686237788397358,0.5966720495838957,0.7405755080955758,16
1,0.19791666666666666,0.6906253664546703,0.615991723928373,0.7652590089809677,16
1,0.21875,0.7061782668317588,0.6582220718314675,0.75413446183205,16
1,0.23958333333333331,0.7883104604987645,0.7189459118681483,0.8576750091293808,16
1,0.26041666666666663,0.8966665902697877,0.7714416230955294,1.021891557444046,16
1,0.28125,1.0096918192320898,0.862843047645045,1.1565405908191346,16
1,0.3020833333333333,1.13607254541254,1.0072321844968335,1.2649129063282465,16
1,0.32291666666666663,1.1715872088541104,1.0167235530432424,1.3264508646649784,16
1,0.34375,1.247056477417239,1.10637708750882,1.3877358673256581,16
1,0.3645833333333333,1.2708682025781974,1.1691796033532933,1.3725568018031016,16
1,0.38541666666666663,1.4087475029951582,1.309573728867886,1.5079212771224304,16
1,0.40625,1.5692916993650978,1.4654308169444528,1.6731525817857429,16
1,0.4270833333333333,1.6524750427593438,1.5346634461913553,1.7702866393273322,16
1,0.44791666666666663,1.5917917937978374,1.4631555798316973,1.7204280077639775,16
1,0.46875,1.6533974589644953,1.5456347559784895,1.761160161950501,16
1,0.4895833333333333,1.8134042529626402,1.7041948485062062,1.9226136574190742,16
1,0.5104166666666666,1.7921253278712515,1.6963712723202136,1.8878793834222893,16
1,0.53125,1.7675609831610746,1.659389426303433,1.8757325400187161,16
1,0.5520833333333333,1.7456338017978807,1.64212710499533,1.8491404986004314,16
1,0.5729166666666666,1.710913176219062,1.5910514931925186,1.8307748592456052,16
1,0.59375,1.6409448568570593,1.5390531567027554,1.742836557011363,16
1,0.6145833333333333,1.5744064065293983,1.4426679770127488,1.7061448360460478,16
1,0.6354166666666666,1.4993014984220743,1.3556011952934424,1.6430018015507062,16
1,0.65625,1.362729006749091,1.2353081316547232,1.4901498818434586,16
1,0.6770833333333333,1.258851697120539,1.1737022600964968,1.3440011341445812,16
1,0.6979166666666666,1.227257656859022,1.127123462018407,1.3273918516996372,16
1,0.71875,1.0972755747286111,1.0138387409449692,1.1807124085122531,16
1,0.7395833333333333,0.9939476828158487,0.8875497698056168,1.1003455958260806,16
1,0.7604166666666666,0.8409454387174174,0.759808083165491,0.9220827942693439,16
1,0.78125,0.7877405649475983,0.6919747374461745,0.883506392449022,16
1,0.8020833333333333,0.7526274852796763,0.6702483121565815,0.835006658402771,16
1,0.8229166666666666,0.6596678926871247,0.5743058193474206,0.7450299660268287,16
1,0.84375,0.5570142864401113,0.4961965335100908,0.6178320393701319,16
1,0.8645833333333333,0.5155963268604097,0.4695604788209084,0.561632174899911,16
1,0.8854166666666666,0.533907866829828,0.47863014489003614,0.58918558876962,16
1,0.90625,0.4887791379361117,0.4094451658772662,0.5681131099949572,16
1,0.9270833333333333,0.4459491059789509,0.3709045283881344,0.5209936835697673,16
1,0.9479166666666666,0.458348297453535,0.3819771927792846,0.5347194021277853,16
1,0.96875,0.4314272040357663,0.3714393277094104,0.49141508036212217,16
1,0.9895833333333333,0.4065574906824813,0.338200090318569,0.4749148910463936,16
1.5,0.010416666666666666,0.2535944753263202,0.18924716844997133,0.317941782202669,16
1.5,0.03125,0.2825328598590877,0.21960778756655883,0.3454579321516166,16
1.5,0.05208333333333333,0.328195455793262,0.2734554848870723,0.3829354266994517,16
1.5,0.07291666666666666,0.3240233068895277,0.27903606029485006,0.3690105534842053,16
1.5,0.09375,0.3104844988928949,0.23591602899662403,0.38505296878916584,16
1.5,0.11458333333333333,0.32996877330775326,0.2539249628595359,0.4060125837559706,16
1.5,0.13541666666666666,0.41413092879576935,0.34876908689030595,0.47949277070123275,16
1.5,0.15625,0.47633424881132036,0.42593667248263867,0.526731825140002,16
1.5,0.17708333333333331,0.5436052165346724,0.4617646210819434,0.6254458119874015,16
1.5,0.19791666666666666,0.601006217204185,0.5178135384394982,0.6841988959688718,16
1.5,0.21875,0.5898433827717094,0.5166432980430916,0.6630434675003273,16
1.5,0.23958333333333331,0.6516713606264581,0.5626192921995914,0.7407234290533249,16
1.5,0.26041666666666663,0.7699351559069193,0.7034608239794113,0.8364094878344273,16
1.5,0.28125,0.8980295980401833,0.7798247903818835,1.0162344056984831,16
1.5,0.3020833333333333,1.014920112019318,0.8735572807212635,1.1562829433173727,16
1.5,0.32291666666666663,1.105854416933943,1.0217390293117492,1.1899698045561369,16
1.5,0.34375,1.2705705009726895,1.151301220431458,1.389839781513921,16
1.5,0.3645833333333333,1.4290316669436942,1.2984864417907398,1.5595768920966486,16
1.5,0.38541666666666663,1.5365555293245048,1.407770513102035,1.6653405455469745,16
1.5,0.40625,1.736625993051436,1.6429617419046418,1.8302902441982303,16
1.5,0.4270833333333333,1.8579989316913164,1.7680959219788333,1.9479019414037995,16
1.5,0.44791666666666663,1.991568378277324,1.8681887459110331,2.1149480106436145,16
1.5,0.46875,2.0952094355776856,1.97751318482023,2.212905686335141,16
1.5,0.4895833333333333,2.153417350093772,2.015230786921903,2.2916039132656407,16
1.5,0.5104166666666666,2.2116162999176914,2.0752919342128533,2.3479406656225295,16
1.5,0.53125,2.162746571048105,2.0535925326547884,2.271900609441422,16
1.5,0.5520833333333333,2.0979394372461293,1.9458207119358646,2.250058162556394,16
1.5,0.5729166666666666,2.071631442777058,1.9133354490518968,2.2299274365022193,16
1.5,0.59375,1.9561285607549899,1.7489011724582735,2.1633559490517063,16
1.5,0.6145833333333333,1.800494597222357,1.6442568563541817,1.9567323380905322,16
1.5,0.6354166666666666,1.627387843921493,1.5202731477220965,1.7345025401208896,16
1.5,0.65625,1.4702688972355296,1.3830186797284403,1.5575191147426188,16
1.5,0.6770833333333333,1.3147436534496377,1.2098740078300307,1.4196132990692447,16
1.5,0.6979166666666666,1.2208021357056138,1.1055199333156187,1.336084338095609,16
1.5,0.71875,1.0967191697976812,0.9624587457438583,1.2309795938515042,16
1.5,0.7395833333333333,0.8721266787258571,0.7698186560792423,0.974434701372472,16
1.5,0.7604166666666666,0.7977818722850267,0.6917617984975225,0.903801946072531,16
1.5,0.78125,0.6986057669953283,0.6229973768753959,0.7742141571152606,16
1.5,0.8020833333333333,0.5781414532930755,0.49762759140374646,0.6586553151824046,16
1.5,0.8229166666666666,0.5088529833831874,0.43458113289887546,0.5831248338674994,16
1.5,0.84375,0.47146245428438543,0.4165141247809769,0.5264107837877939,16
1.5,0.8645833333333333,0.41739510360927057,0.35806232544944694,0.4767278817690942,16
1.5,0.8854166666666666,0.33980949151315026,0.2775711440740878,0.40204783895221274,16
1.5,0.90625,0.29908441151453424,0.23550839761498837,0.3626604254140801,16
1.5,0.9270833333333333,0.2698312600101481,0.19664650649216456,0.3430160135281317,16
1.5,0.9479166666666666,0.28324263763343244,0.2313250638699167,0.3351602113969482,16
1.5,0.96875,0.23489754176161606,0.18126421655947406,0.28853086696375807,16
1.5,0.9895833333333333,0.23318194226896305,0.18823508510022785,0.27812879943769825,16
2,0.010416666666666666,0.15893228945644158,0.10924811037200499,0.20861646854087817,16
2,0.03125,0.18547410634603553,0.1207352035556659,0.25021300913640515,16
2,0.05208333333333333,0.2041371371732762,0.15653531844224952,0.25173895590430284,16
2,0.07291666666666666,0.22071852665391825,0.16856295376119207,0.27287409954664443,16
2,0.09375,0.2258557335034671,0.18473229852232545,0.26697916848460873,16
2,0.11458333333333333,0.2537416410898125,0.18955292981920602,0.317930352360419,16
2,0.13541666666666666,0.27900717798407504,0.19828942287693668,0.3597249330912134,16
2,0.15625,0.31707383160442926,0.2470777500695532,0.3870699131393053,16
2,0.17708333333333331,0.35994833276014826,0.3078151192557905,0.412081546264506,16
2,0.19791666666666666,0.42210896284605304,0.3758677172664848,0.46835020842562125,16
2,0.21875,0.4942843408452441,0.4323959745614805,0.5561727071290077,16
2,0.23958333333333331,0.5426665808874155,0.45802966834355924,0.6273034934312718,16
2,0.26041666666666663,0.6265518852411154,0.529865102663825,0.7232386678184057,16
2,0.28125,0.7416355393428876,0.6583771139168874,0.8248939647688879,16
2,0.3020833333333333,0.8973072914294571,0.7864405605064513,1.008174022352463,16
2,0.32291666666666663,1.047587398492792,0.9041413522113828,1.191033444774201,16
2,0.34375,1.1976456981325445,1.076167721269464,1.319123674995625,16
2,0.3645833333333333,1.4496243073989608,1.364975747588314,1.5342728672096075,16
2,0.38541666666666663,1.6806192441387642,1.555191787946934,1.8060467003305944,16
2,0.40625,1.877696625484478,1.7362326815024098,2.019160569466546,16
2,0.4270833333333333,2.162206426417637,2.0961899386736342,2.22822291416164,16
2,0.44791666666666663,2.3920679063526533,2.214790477289043,2.5693453354162634,16
2,0.46875,2.421041077963528,2.293403713120394,2.548678442806662,16
2,0.4895833333333333,2.4768237642391564,2.3475750794628727,2.60607244901544,16
2,0.5104166666666666,2.5625961128454824,2.413748196337183,2.711444029353782,16
2,0.53125,2.517590492088908,2.3532135604208824,2.6819674237569338,16
2,0.5520833333333333,2.3840961211639695,2.2110133629519853,2.557178879375954,16
2,0.5729166666666666,2.307799419435768,2.1218491954511984,2.4937496434203377,16
2,0.59375,2.14101339050414,1.921321061744998,2.3607057192632825,16
2,0.6145833333333333,1.893378207328901,1.7693379716634796,2.0174184429943223,16
2,0.6354166666666666,1.7273444004381409,1.6218579483541267,1.832830852522155,16
2,0.65625,1.5345087423552124,1.4235290717449482,1.6454884129654765,16
2,0.6770833333333333,1.4802173614827177,1.3506817388477501,1.6097529841176852,16
2,0.6979166666666666,1.2574117820120316,1.1407257294251814,1.374097834598882,16
2,0.71875,0.9744581717243056,0.9104986044226412,1.03841773902597,16
2,0.7395833333333333,0.8131073455958344,0.7450188332865503,0.8811958579051186,16
2,0.7604166666666666,0.7332470657766085,0.670226974326699,0.796267157226518,16
2,0.78125,0.5886257877556335,0.5352360795563372,0.6420154959549297,16
2,0.8020833333333333,0.48535720968732515,0.4185163579363303,0.5521980614383201,16
2,0.8229166666666666,0.3895712639015028,0.3287753099041011,0.45036721789890455,16
2,0.84375,0.32368303700879175,0.258492886034634,0.3888731879829495,16
2,0.8645833333333333,0.28309840754817567,0.22220544749939983,0.34399136759695154,16
2,0.8854166666666666,0.22833619012402354,0.16464862099116084,0.29202375925688623,16
2,0.90625,0.18974533324237594,0.13488664190975125,0.24460402457500063,16
2,0.9270833333333333,0.158669513601829,0.12630975190194144,0.19102927530171654,16
2,0.9479166666666666,0.1328820205591265,0.09966007956513234,0.16610396155312068,16
2,0.96875,0.12560962036751044,0.0873127437572031,0.16390649697781778,16
2,0.9895833333333333,0.13289717766740386,0.09854836351280724,0.16724599182200048,16
2.5,0.010416666666666666,0.10896818172019469,0.07988612520689498,0.1380502382334944,16
