r,delta,rule,n_seeds,total_cycles,mean_N,mean_N_low,mean_N_high,median_N,median_N_low,median_N_high,integer_fraction,integer_fraction_low,integer_fraction_high,band1,band1_low,band1_high,band2,band2_low,band2_high,band3,band3_low,band3_high,event_R1,event_R1_low,event_R1_high,event_R2,event_R2_low,event_R2_high,interval_R,interval_R_low,interval_R_high,next2_given2,next2_given2_low,next2_given2_high,Q2,Q2_low,Q2_high,phase_drift2,phase_drift2_low,phase_drift2_high,residual_variance,residual_variance_low,residual_variance_high
0.0,0.0,hysteresis,16.0,7326.0,2.4283624141717945,2.410667345410446,2.446057482933143,2.3405777357708786,2.3349770838887274,2.3461783876530298,0.10063931394901549,0.09347288549589233,0.10780574240213864,0.000408536682484493,-5.951906974963246e-05,0.0008765924347186185,0.07834475708700266,0.07292249725740006,0.08376701691660525,0.013392400875092317,0.010581414044631964,0.01620338770555267,0.027295152692941513,0.021485297206955686,0.033105008178927336,0.03015777364646979,0.020244470913383657,0.040071076379555925,0.46576872211257103,0.4453575247612604,0.48617991946388167,0.09636910671120143,0.0696185644590206,0.12311964896338226,0.019658785165339046,0.015514529723194333,0.02380304060748376,-0.33300418802229603,-0.3420883414502339,-0.32392003459435814,0.5005367001096037,0.4706730112812109,0.5304003889379965
0.0,1.0,hysteresis,16.0,7819.0,2.2753486472676516,2.2574755266722932,2.29322176786301,2.277940063565966,2.2687219888989714,2.2871581382329604,0.17412097971149615,0.15740868695373297,0.19083327246925932,0.022137581594961188,0.01635680023805737,0.027918362951865006,0.12478397220502052,0.11442502739528566,0.13514291701475536,0.023864189845450808,0.019532020431950275,0.02819635925895134,0.40334035329713286,0.38951076284515007,0.41716994374911565,0.08180762837741909,0.0673823226577808,0.09623293409705738,0.31107655509876014,0.29256164046411587,0.3295914697334044,0.17845639113009892,0.15102726501984962,0.20588551724034823,0.011555228814194846,0.008611406051482001,0.01449905157690769,-0.10930482404150288,-0.1351243884628202,-0.08348525962018556,0.5005367075443258,0.470673017013287,0.5304003980753645
0.0,1.5,hysteresis,16.0,8410.0,2.116365938111027,2.0882659170904936,2.1444659591315607,2.201193625727176,2.190371947546581,2.2120153039077706,0.23769506197048923,0.22087036576024058,0.2545197581807379,0.06471933332244877,0.05329793529122328,0.07614073135367426,0.15043575558601763,0.1425810312687148,0.15829047990332046,0.021702326417133457,0.01851646407197758,0.024888188762289334,0.5581372438653864,0.5431508544285387,0.5731236333022341,0.16387313487082517,0.14726133379920145,0.18048493594244888,0.30610005330608214,0.2926859754087575,0.31951413120340677,0.221752778793966,0.18835785730016294,0.255147700287769,0.009818419691641263,0.006706579942111886,0.012930259441170641,0.1195436120214744,0.08164358754666864,0.15744363649628015,0.5005367113831466,0.470673020000782,0.5304004027655113
0.0,2.0,hysteresis,16.0,9320.0,1.910996013572042,1.8760896864572598,1.9459023406868243,2.121001359233917,2.105618463844807,2.1363842546230267,0.29666433695440486,0.2810085164267948,0.3123201574820149,0.1268193924456461,0.11287032978261204,0.14076845510868016,0.15395990869712933,0.14608448897391807,0.1618353284203406,0.015674402727009942,0.012005213623424837,0.019343591830595048,0.6650791603894437,0.6525539031384534,0.677604417640434,0.24582645341166945,0.22766979858335631,0.2639831082399826,0.3807691846878713,0.36475129479008817,0.39678707458565443,0.2030122901792067,0.18025408019551295,0.22577050016290043,0.008439594606352735,0.005807668751334689,0.011071520461370781,0.40573446356214105,0.3530620565565343,0.4584068705677478,0.5005367153029382,0.4706730230692433,0.5304004075366331
0,2.5,hysteresis,16,10357,1.721237842499353,1.6815560809475185,1.7609196040511876,1.9783849032768155,1.8795431438071013,2.0772266627465297,0.34860184339121497,0.3329761492114232,0.36422753757100673,0.19542152589418704,0.18023439601837865,0.21060865576999543,0.1435912661590955,0.13556726340844363,0.15161526890974739,0.009589051337932402,0.0069868860094424185,0.012191216666422386,0.7378244046390572,0.7281021429604173,0.7475466663176971,0.32576702869651164,0.30858691330353416,0.3429471440894891,0.4646838164760191,0.44981856830003814,0.47954906465200003,0.18302902583265013,0.16108864752765648,0.20496940413764378,0.005630556724172696,0.0037213119982952144,0.007539801450050177,0.6982125333488058,0.633841172362909,0.7625838943347026,0.5005367193037089,0.47067302621868395,0.5304004123887338
0.0,3.0,hysteresis,16.0,11443.0,1.5578534510490372,1.523425444857128,1.5922814572409463,1.2670148348767998,1.1472351086829964,1.3867945610706032,0.38004269399295276,0.3668304140189465,0.393254973966959,0.24748659413176563,0.23291041853626568,0.26206276972726555,0.12780619242634722,0.12084836005625779,0.13476402479643665,0.004749907434839943,0.0030960840772907535,0.0064037307923891324,0.7817542376663903,0.7738473752733239,0.7896611000594567,0.3868302319576038,0.3711150817797822,0.4025453821354254,0.5219880578066585,0.508520898956223,0.535455216657094,0.17922404596865746,0.1515996327557212,0.20684845918159372,0.004101372802791585,0.002852389485489739,0.0053503561200934305,0.9946133797174063,0.934892951436629,1.0543338079981834,0.5005367233854334,0.47067302944907624,0.5304004173217907
0.0,0.0,raw,16.0,7630.0,2.331356953540776,2.320807073910679,2.341906833170873,2.3275947665460683,2.3213480380774674,2.3338414950146693,0.10160704747102912,0.09293150229078745,0.1102825926512708,0.0019695843972769578,0.0006997821176088683,0.0032393866769450472,0.08152720091136748,0.07596096438246011,0.08709343744027484,0.01443556544613665,0.01135774988104174,0.01751338101123156,0.026563208223482612,0.020397459759102517,0.03272895668786271,0.030722583762792157,0.02315588722207366,0.038289280303510656,0.45268483280862715,0.43125151219956925,0.47411815341768504,0.09704594944905068,0.07151901303209246,0.1225728858660089,0.019658785165339046,0.015514529723194333,0.02380304060748376,-0.33300418802229603,-0.3420883414502339,-0.32392003459435814,0.5005367001096037,0.4706730112812109,0.5304003889379965
0.0,1.0,raw,16.0,8489.0,2.0969281137664564,2.0723714010794847,2.121484826453428,2.2333543342138844,2.2218660426224566,2.2448426258053122,0.1829858160355204,0.16578728005531995,0.20018435201572082,0.05396679444205567,0.04361932343176937,0.06431426545234196,0.11362755878460692,0.10474512252678284,0.12250999504243101,0.014693504537428455,0.011625254326733274,0.017761754748123637,0.4173593340372871,0.4032806825378181,0.43143798553675605,0.07440365644749938,0.0615173394709318,0.08728997342406697,0.29586263070660346,0.27990220322656945,0.31182305818663747,0.1386140264861479,0.11649598824382433,0.16073206472847149,0.011555228814194846,0.008611406051482001,0.01449905157690769,-0.10930482404150288,-0.1351243884628202,-0.08348525962018556,0.5005367075443258,0.470673017013287,0.5304003980753645
0.0,1.5,raw,16.0,9365.0,1.9019683308099975,1.872475894911498,1.931460766708497,2.1472509019129324,2.133201799566297,2.161300004259568,0.23308706650693378,0.21761141813438142,0.24856271487948614,0.1063353177296283,0.09499667469017486,0.11767396076908174,0.11548160224805676,0.10882855481393118,0.12213464968218234,0.010955187282480888,0.00809175318315506,0.013818621381806714,0.5558761223965699,0.543017583950534,0.5687346608426058,0.13722063821986527,0.1225503421589943,0.15189093428073625,0.29834374511492795,0.28534095934352227,0.31134653088633363,0.1596850693575228,0.13514991157885242,0.18422022713619318,0.009818419691641263,0.006706579942111886,0.012930259441170641,0.1195436120214744,0.08164358754666864,0.15744363649628015,0.5005367113831466,0.470673020000782,0.5304004027655113
0.0,2.0,raw,16.0,10452.0,1.7049135825085033,1.6718084476354178,1.7380187173815889,1.9690461752979793,1.8667178785265859,2.071374472069373,0.2782326253436763,0.26690551275410956,0.2895597379332431,0.16471736788092256,0.15455184469522368,0.17488289106662144,0.10632124353529629,0.09956183823385462,0.11308064883673796,0.0071940139274574415,0.004745180527249178,0.009642847327665705,0.6467884573646294,0.6370191251189129,0.6565577896103459,0.202617008358464,0.18852840307777563,0.21670561363915236,0.3486204287772212,0.3343510610556594,0.362889796498783,0.14583459121110365,0.1258140362312374,0.1658551461909699,0.008439594606352735,0.005807668751334689,0.011071520461370781,0.40573446356214105,0.3530620565565343,0.4584068705677478,0.5005367153029382,0.4706730230692433,0.5304004075366331
0,2.5,raw,16,11573,1.540251249444753,1.5067113640885468,1.573791134800959,1.2681299135386148,1.1556720655484063,1.3805877615288233,0.316014678832565,0.3043541613074299,0.3276751963577001,0.21719465827965034,0.20578668490278712,0.22860263165651357,0.09499146577876523,0.08870239021097957,0.10128054134655089,0.0038285547741494824,0.0023880549990504185,0.005269054549248546,0.7110454787154831,0.7022194393422062,0.7198715180887599,0.26922432216449077,0.25355902759474025,0.2848896167342413,0.4102797213069246,0.39691744588313715,0.423641996730712,0.1280107181333436,0.11235098477583276,0.14367045149085447,0.005630556724172696,0.0037213119982952144,0.007539801450050177,0.6982125333488058,0.633841172362909,0.7625838943347026,0.5005367193037089,0.47067302621868395,0.5304004123887338
0.0,3.0,raw,16.0,12705.0,1.4025038041790383,1.3770508342635315,1.4279567740945451,1.115158351138273,1.1020665021570988,1.1282502001194472,0.33842043200573935,0.3279450351381656,0.3488958288733131,0.2596679091155839,0.24712152641067034,0.2722142918204975,0.07676980363309574,0.07079637176469297,0.08274323550149851,0.0019827192570597285,0.000959394397174404,0.003006044116945053,0.7509172765320216,0.7427557278756467,0.7590788251883964,0.32405312021010385,0.30867150164851204,0.33943473877169567,0.4493813004697916,0.4375466570773769,0.46121594386220627,0.10850886789452432,0.08509490233839537,0.13192283345065328,0.004101372802791585,0.002852389485489739,0.0053503561200934305,0.9946133797174063,0.934892951436629,1.0543338079981834,0.5005367233854334,0.47067302944907624,0.5304004173217907
0.5,0.0,hysteresis,16.0,7264.0,2.447931262451898,2.4318666939526743,2.463995830951122,2.336670044091032,2.3305891146648614,2.3427509735172025,0.10832084580959994,0.09881844717650456,0.11782324444269532,0.0,0.0,0.0,0.08943472517314993,0.08143068173433465,0.09743876861196521,0.010878554181845872,0.00859170463700545,0.013165403726686294,0.02733386527319242,0.019721542126521836,0.034946188419863,0.035960018425441935,0.027523355752253606,0.044396681098630264,0.4230084739367952,0.4003286933493931,0.4456882545241973,0.08685392235699729,0.05804977756326698,0.1156580671507276,0.021269017346258436,0.016048932337725877,0.026489102354790996,-0.3327907054790823,-0.3411211855979226,-0.324460225360242,0.9819165255512153,0.8815879246109711,1.0822451264914597
0.5,1.0,hysteresis,16.0,7616.0,2.335351282934928,2.320809290353067,2.349893275516789,2.29598974067878,2.2859707793980886,2.3060087019594717,0.16803240203069947,0.15569902780118042,0.18036577626021852,0.010218314955517572,0.00681058629361388,0.013626043617421264,0.12895484293615198,0.1202343877300686,0.13767529814223536,0.022537211601486563,0.01759201938129342,0.027482403821679706,0.3306941056212689,0.3135121923018237,0.34787601894071407,0.061031093159707867,0.04807420896677721,0.07398797735263853,0.3181863340286212,0.2973629898427429,0.33900967821449945,0.1744450659124922,0.1400700835629777,0.2088200482620067,0.01496417443641541,0.011784245507148279,0.018144103365682538,-0.17430805082710243,-0.19560867398391396,-0.1530074276702909,1.0067864148077368,0.8985600958284886,1.115012733786985
0.5,1.5,hysteresis,16.0,7945.0,2.2394776304804,2.215808682784527,2.2631465781762725,2.2413467557401354,2.2286287170914356,2.2540647943888352,0.21962049223097047,0.20543721007054958,0.23380377439139136,0.032243837309971574,0.024357138561174455,0.04013053605876869,0.1631391658516429,0.15159288835514276,0.17468544334814304,0.022592045362134577,0.019448193646940188,0.025735897077328967,0.46155822086450926,0.44240225773468045,0.4807141839943381,0.11545903489460965,0.09985597427286742,0.13106209551635187,0.28870069406412346,0.27384042685119747,0.30356096127704946,0.22186798603957675,0.18605885656073948,0.257677115518414,0.011970527012682804,0.009349076584600147,0.014591977440765461,-0.0240006412473453,-0.05996172764003865,0.011960445145348053,1.038317725341094,0.9239724106255707,1.1526630400566173
0.5,2.0,hysteresis,16.0,8452.0,2.106604138713825,2.069576774566411,2.1436315028612385,2.1844268812877363,2.1695375648565536,2.199316197718919,0.26502657738629,0.24920386024919763,0.2808492945233823,0.06687398410689556,0.05430973660248676,0.07943823161130437,0.1780205259579374,0.1665690838790513,0.1894719680368235,0.019890697009073456,0.017314543914375934,0.022466850103770978,0.561036630071357,0.5413615164585255,0.5807117436841884,0.17456903438658372,0.15701759993871037,0.19212046883445708,0.3162122346061169,0.30123690125896263,0.3311875679532712,0.23933963512467676,0.2022044200273874,0.27647485022196616,0.010152978961615856,0.007595049328293335,0.012710908594938378,0.16505352893095585,0.11474579224510327,0.2153612656168084,1.0826571157230278,0.9608002534599056,1.20451397798615
