delta,elapsed_drive_periods,phase_change_turns,ci_low,ci_high,seeds
0,0.0,0.0,0.0,0.0,8
0,0.37136153388108917,-0.07243386283556455,-0.11801559194604713,-0.026852133725081974,8
0,0.7427230677621783,-0.13992796988635758,-0.215530416701727,-0.06432552307098817,8
0,1.1140846016432675,-0.22773373511951656,-0.32763164265527966,-0.12783582758375348,8
0,1.4854461355243567,-0.31680739033488237,-0.41314538971880915,-0.22046939095095558,8
0,1.8568076694054458,-0.4049401548427111,-0.5287710532840825,-0.28110925640133977,8
0,2.228169203286535,-0.48041962234787344,-0.6181436688862374,-0.3426955758095095,8
0,2.5995307371676244,-0.5461966066104358,-0.709990361808472,-0.38240285141239966,8
0,2.9708922710487133,-0.5795735741796524,-0.7616186658556976,-0.3975284825036072,8
0,3.3422538049298023,-0.6384639141480584,-0.8214591738609868,-0.45546865443512996,8
0,3.7136153388108917,-0.686105313908609,-0.854652563317167,-0.5175580645000509,8
0,4.084976872691981,-0.7258030703294809,-0.9452443314030082,-0.5063618092559535,8
0,4.45633840657307,-0.7890439006065045,-1.0022941737402342,-0.5757936274727748,8
0,4.827699940454159,-0.8349813739073596,-1.0724642557976296,-0.5974984920170896,8
0,5.199061474335249,-0.8495563261761614,-1.0919864710864273,-0.6071261812658955,8
0,5.570423008216337,-0.875163248191225,-1.1311899794861862,-0.6191365168962639,8
0,5.941784542097427,-0.927484106413395,-1.1907931453978633,-0.6641750674289266,8
0,6.313146075978516,-0.9465407030014734,-1.1839950208678325,-0.7090863851351142,8
0,6.684507609859605,-1.00616778348837,-1.2534115961271752,-0.7589239708495648,8
0,7.0558691437406935,-1.0987839743868684,-1.3584096362311655,-0.8391583125425712,8
0,7.427230677621783,-1.2047265453993323,-1.522426738323988,-0.8870263524746766,8
0,7.798592211502871,-1.2656126447301081,-1.6069908732743678,-0.9242344161858485,8
0,8.169953745383962,-1.290098955875051,-1.6345571639342258,-0.9456407478158764,8
0,8.541315279265051,-1.344160717267064,-1.7144984000971462,-0.9738230344369818,8
0,8.91267681314614,-1.3984756368686477,-1.7985368954269596,-0.9984143783103357,8
0,9.284038347027229,-1.4145443549292798,-1.8163805144019032,-1.0127081954566564,8
0,9.655399880908318,-1.4374226245095278,-1.83222716661024,-1.0426180824088156,8
0,10.026761414789407,-1.512794779718416,-1.923373823376965,-1.102215736059867,8
0,10.398122948670498,-1.567692484031267,-1.9530229381776,-1.1823620298849338,8
0,10.769484482551585,-1.6188399968283826,-2.0258148586172346,-1.2118651350395304,8
0,11.140846016432674,-1.6757175779778253,-2.0651494966881803,-1.2862856592674705,8
0,11.512207550313764,-1.7295044592610673,-2.129461377808321,-1.3295475407138138,8
0,11.883569084194853,-1.7837098307653365,-2.173684132009546,-1.393735529521127,8
0,12.25493061807594,-1.8020082156271373,-2.1819456552263885,-1.4220707760278861,8
0,12.626292151957031,-1.8465878844413373,-2.2976650160876058,-1.3955107527950688,8
0,12.99765368583812,-1.898315810780336,-2.3580216108397507,-1.4386100107209212,8
0,13.36901521971921,-1.9735309696487715,-2.4795724007019007,-1.4674895385956424,8
0,13.7403767536003,-1.927382770617609,-2.4206444033347863,-1.4341211379004317,8
0,14.111738287481387,-1.9429043999780773,-2.443402592896402,-1.4424062070597523,8
0,14.483099821362476,-1.8985305088934508,-2.3380789829952797,-1.4589820347916218,8
0,14.854461355243567,-1.9468460856257566,-2.393337055129719,-1.5003551161217943,8
0,15.225822889124656,-1.916034385102775,-2.385375143767959,-1.4466936264375911,8
0,15.597184423005743,-1.8779180270302258,-2.396558804175823,-1.3592772498846286,8
0,15.968545956886834,-1.8898242258487215,-2.405812366458681,-1.373836085238762,8
0,16.339907490767924,-1.9603380820361556,-2.511299022010408,-1.4093771420619032,8
0,16.71126902464901,-2.070917662217764,-2.596645859320301,-1.545189465115227,8
0,17.082630558530102,-2.1459805175444937,-2.668137920570755,-1.6238231145182325,8
0,17.45399209241119,-2.2321521653843814,-2.7839008744922755,-1.6804034562764874,8
0,17.82535362629228,-2.345429711115015,-2.91043595740733,-1.7804234648227,8
0,18.19671516017337,-2.439050472057153,-3.06859987471756,-1.8095010693967457,8
0,18.568076694054458,-2.5246073405631515,-3.1507813769123714,-1.8984333042139316,8
0,18.939438227935547,-2.6709794075452526,-3.286641212612345,-2.0553176024781603,8
0,19.310799761816636,-2.7135810196874792,-3.31651001118682,-2.1106520281881385,8
0,19.682161295697725,-2.8017574758086163,-3.4188707180410924,-2.1846442335761402,8
0,20.053522829578814,-2.890365605775972,-3.5039856807037384,-2.276745530848206,8
0,20.424884363459903,-2.919163070982576,-3.530993217666245,-2.307332924298907,8
0,20.796245897340995,-2.9584951887124795,-3.5501368922746295,-2.3668534851503296,8
0,21.16760743122208,-3.0445993191280447,-3.6156471099679384,-2.473551528288151,8
0,21.53896896510317,-3.1339352292066414,-3.6981807388195933,-2.5696897195936894,8
0,21.910330498984262,-3.154414111514402,-3.6896977484148454,-2.619130474613959,8
0,22.281692032865347,-3.2202851936524644,-3.7652319614042358,-2.675338425900693,8
0,22.65305356674644,-3.3098166630283368,-3.864505863293097,-2.7551274627635767,8
0,23.02441510062753,-3.3295451140792687,-3.889024610794948,-2.7700656173635894,8
0,23.395776634508614,-3.3662366599256788,-3.946860250707787,-2.7856130691435705,8
0,23.767138168389707,-3.4407308476236382,-3.9802065098078723,-2.901255185439404,8
0,24.138499702270796,-3.4725433384679385,-3.958280691948189,-2.986805984987688,8
0,24.50986123615188,-3.521735103677571,-4.05061164302852,-2.9928585643266223,8
0,24.881222770032974,-3.5645055902408873,-4.062304491318941,-3.066706689162834,8
0,25.252584303914063,-3.6171005953380857,-4.113891549791326,-3.1203096408848454,8
0,25.62394583779515,-3.7009280389754258,-4.179140903787768,-3.222715174163084,8
0,25.99530737167624,-3.7280155467063083,-4.21907573793698,-3.2369553554756365,8
0,26.366668905557333,-3.800540518157132,-4.2980301997525165,-3.3030508365617477,8
0,26.73803043943842,-3.891847725260755,-4.417501855696399,-3.366193594825111,8
0,27.109391973319507,-3.9310543195576972,-4.455397985697848,-3.4067106534175458,8
0,27.4807535072006,-3.97584635470304,-4.513342042871372,-3.438350666534708,8
0,27.852115041081685,-4.014532725390073,-4.517961981787389,-3.5111034689927583,8
0,28.223476574962774,-4.082531634470705,-4.539055900717646,-3.6260073682237635,8
0,28.594838108843867,-4.123382450811988,-4.558183231377838,-3.688581670246138,8
0,28.966199642724952,-4.177970896052915,-4.622502116722193,-3.7334396753836363,8
0,29.337561176606044,-4.180153112445133,-4.603305780417252,-3.7570004444730136,8
0,29.708922710487133,-4.246821354835444,-4.681074976090454,-3.812567733580434,8
0,30.08028424436822,-4.2766973640995385,-4.700024913904199,-3.8533698142948776,8
0,30.45164577824931,-4.3143431357280395,-4.763050168799019,-3.86563610265706,8
0,30.8230073121304,-4.383369750914509,-4.841336158327399,-3.92540334350162,8
0,31.194368846011486,-4.44344303945174,-4.924425672659664,-3.9624604062438156,8
0,31.565730379892578,-4.508462992883551,-5.022893406346582,-3.9940325794205203,8
0,31.937091913773667,-4.562603910817751,-5.063549863199719,-4.0616579584357835,8
0,32.308453447654756,-4.571737027004423,-5.0620619002224,-4.081412153786447,8
0,32.67981498153585,-4.614702968749635,-5.136401538182488,-4.093004399316781,8
0,33.051176515416934,-4.676457540811082,-5.2005651567899935,-4.152349924832171,8
0,33.42253804929802,-4.7396578904592355,-5.261723143179391,-4.21759263773908,8
0,33.79389958317911,-4.792557931234896,-5.309384717604239,-4.275731144865553,8
0,34.165261117060204,-4.852839482736828,-5.367033854130993,-4.338645111342663,8
0,34.53662265094129,-4.946618299918732,-5.448881508562919,-4.444355091274544,8
0,34.90798418482238,-4.97498960846469,-5.462885020418609,-4.487094196510771,8
0,35.27934571870347,-5.02000950634566,-5.507380531372747,-4.532638481318572,8
0,35.65070725258456,-5.060435911560161,-5.5227747833563035,-4.598097039764018,8
0,36.022068786465645,-5.083359134348732,-5.552048761706236,-4.614669506991228,8
0,36.39343032034674,-5.11485865341475,-5.5791008634119645,-4.650616443417535,8
0,36.76479185422783,-5.137190443363312,-5.590977636918222,-4.683403249808402,8
0,37.136153388108916,-5.234983260118278,-5.671049562621128,-4.798916957615427,8
0,37.50751492199001,-5.287357662979314,-5.715071277075454,-4.859644048883174,8
0,37.878876455871094,-5.345146782504971,-5.784107486497832,-4.90618607851211,8
0,38.25023798975218,-5.373984843851484,-5.865219250227559,-4.8827504374754085,8
0,38.62159952363327,-5.452977991080456,-5.949395888088046,-4.956560094072866,8
0,38.992961057514364,-5.501814842057096,-6.039437277131171,-4.96419240698302,8
0,39.36432259139545,-5.631034758479612,-6.135724240452951,-5.126345276506274,8
0,39.73568412527654,-5.690687692298521,-6.206086809451159,-5.175288575145883,8
0,40.10704565915763,-5.747601337315819,-6.272961776260287,-5.222240898371352,8
0,40.47840719303872,-5.809391783180285,-6.366135718438408,-5.252647847922161,8
0,40.849768726919805,-5.89613208705371,-6.466235787474698,-5.326028386632721,8
0,41.22113026080089,-5.977050067288914,-6.5922297998431745,-5.361870334734654,8
0,41.59249179468199,-6.037746621629859,-6.666759233911527,-5.408734009348191,8
0,41.963853328563076,-6.1084635880443345,-6.748305244520839,-5.46862193156783,8
0,42.33521486244416,-6.190302378209743,-6.840812258767639,-5.539792497651846,8
0,42.706576396325254,-6.2173247733780315,-6.832855857513456,-5.601793689242607,8
0,43.07793793020634,-6.238796631436831,-6.852214546597771,-5.625378716275891,8
0,43.44929946408743,-6.32046368810469,-6.988922098060343,-5.652005278149037,8
0,43.820660997968524,-6.446526344381121,-7.195420980789017,-5.697631707973226,8
0,44.19202253184961,-6.483992305940465,-7.157629962287264,-5.810354649593665,8
0,44.563384065730695,-6.537449496146865,-7.2136470861744,-5.861251906119331,8
0,44.934745599611794,-6.608538857430484,-7.303607467447458,-5.91347024741351,8
0,45.30610713349288,-6.635169110691104,-7.274967172131284,-5.995371049250924,8
