delta,N,density,ci_low,ci_high,seeds
0,0.0125,0.0,0.0,0.0,16
0,0.037500000000000006,0.0,0.0,0.0,16
0,0.0625,0.0,0.0,0.0,16
0,0.08750000000000001,0.0,0.0,0.0,16
0,0.1125,0.0,0.0,0.0,16
0,0.1375,0.0,0.0,0.0,16
0,0.16250000000000003,0.0,0.0,0.0,16
0,0.1875,0.0,0.0,0.0,16
0,0.21250000000000002,0.0,0.0,0.0,16
0,0.2375,0.0,0.0,0.0,16
0,0.2625,0.0,0.0,0.0,16
0,0.28750000000000003,0.0,0.0,0.0,16
0,0.3125,0.0,0.0,0.0,16
0,0.3375,0.0,0.0,0.0,16
0,0.36250000000000004,0.0,0.0,0.0,16
0,0.3875,0.0,0.0,0.0,16
0,0.41250000000000003,0.0,0.0,0.0,16
0,0.4375,0.0,0.0,0.0,16
0,0.4625,0.0,0.0,0.0,16
0,0.48750000000000004,0.0,0.0,0.0,16
0,0.5125,0.0,0.0,0.0,16
0,0.5375000000000001,0.0,0.0,0.0,16
0,0.5625,0.0,0.0,0.0,16
0,0.5875000000000001,0.0,0.0,0.0,16
0,0.6125,0.0,0.0,0.0,16
0,0.6375,0.0,0.0,0.0,16
0,0.6625000000000001,0.0,0.0,0.0,16
0,0.6875,0.0,0.0,0.0,16
0,0.7125000000000001,0.0,0.0,0.0,16
0,0.7375,0.0,0.0,0.0,16
0,0.7625,0.0,0.0,0.0,16
0,0.7875000000000001,0.0,0.0,0.0,16
0,0.8125,0.0,0.0,0.0,16
0,0.8375000000000001,0.0,0.0,0.0,16
0,0.8625,0.0,0.0,0.0,16
0,0.8875,0.0,0.0,0.0,16
0,0.9125000000000001,0.0,0.0,0.0,16
0,0.9375,0.0,0.0,0.0,16
0,0.9625000000000001,0.0,0.0,0.0,16
0,0.9875,0.0,0.0,0.0,16
0,1.0125000000000002,0.0,0.0,0.0,16
0,1.0375,0.0,0.0,0.0,16
0,1.0625,0.0,0.0,0.0,16
0,1.0875,0.0,0.0,0.0,16
0,1.1125,7.604012762201263e-07,-8.603556784219911e-07,2.3811582308622436e-06,16
0,1.1375000000000002,2.591636503427472e-05,-2.767406795564428e-05,7.950679802419372e-05,16
0,1.1625,0.00033111865745797146,-0.0003213396727820456,0.0009835769876979884,16
0,1.1875,0.0016722391283621187,-0.0012839796974570292,0.004628457954181267,16
0,1.2125000000000001,0.003622449609237928,-0.001808300355548494,0.00905319957402435,16
0,1.2375,0.0039171534749391414,-0.0013971856079587862,0.009231492557837069,16
0,1.2625000000000002,0.003583862053851885,-0.00026732528886729695,0.007435049396571067,16
0,1.2875,0.005224967540183997,-0.0005665886340303966,0.011016523714398391,16
0,1.3125,0.005790337606403641,-0.0009833703564196784,0.01256404556922696,16
0,1.3375000000000001,0.003029368317259828,-0.0008475011896891694,0.006906237824208825,16
0,1.3625,0.0012531769161679678,0.0001189141144670783,0.002387439717868857,16
0,1.3875000000000002,0.0031053057755246628,-0.0008569918805718165,0.007067603431621142,16
0,1.4125,0.006446480227874034,-0.000764425069970545,0.013657385525718612,16
0,1.4375,0.008551434277456582,0.0008789714466420802,0.016223897108271084,16
0,1.4625000000000001,0.011950394769677918,0.003992284960692621,0.019908504578663215,16
0,1.4875,0.01764814458009176,0.008518523115499117,0.026777766044684403,16
0,1.5125000000000002,0.022315190274258486,0.011657769273818272,0.0329726112746987,16
0,1.5375,0.023174207379694056,0.013186041467534956,0.033162373291853155,16
0,1.5625,0.022576059228726037,0.013506917303449183,0.03164520115400289,16
0,1.5875000000000001,0.023009539315857294,0.012233840480866303,0.03378523815084829,16
0,1.6125,0.027103807374241173,0.011871897089188163,0.042335717659294184,16
0,1.6375000000000002,0.037871851195810595,0.017927931597018394,0.057815770794602796,16
0,1.6625,0.04967574753930137,0.030557138602960086,0.06879435647564265,16
0,1.6875,0.05256592679941423,0.03186460161496958,0.07326725198385887,16
0,1.7125000000000001,0.051805767021008475,0.030116376681495662,0.07349515736052128,16
0,1.7375,0.061069206110590316,0.03716469006136046,0.08497372215982017,16
0,1.7625000000000002,0.07962541764939246,0.053645470610618216,0.1056053646881667,16
0,1.7875,0.09431016712821769,0.06843380049858627,0.1201865337578491,16
0,1.8125,0.10939520857102816,0.07485529619670828,0.14393512094534805,16
0,1.8375000000000001,0.1340354967203952,0.08956294000097206,0.17850805343981832,16
0,1.8625,0.16228213403583674,0.12064082930378581,0.20392343876788768,16
0,1.8875000000000002,0.19189687371416211,0.15539752239788956,0.22839622503043466,16
0,1.9125,0.2175277291260223,0.17214975062765364,0.26290570762439097,16
0,1.9375,0.25541100314903503,0.20678864700707408,0.30403335929099595,16
0,1.9625000000000001,0.306040766418967,0.24922342552546906,0.36285810731246493,16
0,1.9875,0.35500615618452364,0.29712251673519013,0.41288979563385714,16
0,2.0125,0.438107070322547,0.3823561611195441,0.49385797952554983,16
0,2.0375,0.5620045652831607,0.5071363858294523,0.616872744736869,16
0,2.0625,0.6977822593689268,0.6460685370364027,0.7494959817014509,16
0,2.0875000000000004,0.8319056115167087,0.7512297861562345,0.912581436877183,16
0,2.1125,0.9920959696472319,0.8995234488191672,1.0846684904752966,16
0,2.1375,1.19536737096426,1.0840321478018682,1.306702594126652,16
0,2.1625,1.3896832876646559,1.282945515587706,1.4964210597416057,16
0,2.1875,1.5293975940181708,1.4349592109170943,1.6238359771192472,16
0,2.2125000000000004,1.6386011939216276,1.5291236579751508,1.7480787298681044,16
0,2.2375,1.7563403340169197,1.6488860575200803,1.863794610513759,16
0,2.2625,1.8714660210984921,1.7594440270800984,1.9834880151168859,16
0,2.2875,1.9697694900719087,1.8606801980855665,2.078858782058251,16
