rule,r,delta,slope,bootstrap_low,bootstrap_high,slope_bw_015,slope_bw_025,slope_bw_040
hysteresis,0.0,0.0,1.000919819216814,0.9962392621103636,1.0412026081442811,1.0027580047927935,1.000919819216814,0.9973677944539824
hysteresis,0.0,1.0,0.8570803972269186,0.7485826281274772,0.9174456264715224,0.8246647303993476,0.8570803972269186,0.8660321843184823
hysteresis,0.0,1.5,0.6164274077159697,0.5603936350253781,0.6824080602247088,0.6318106230860108,0.6164274077159697,0.6464730823150174
hysteresis,0.0,2.0,0.47083827137814455,0.4170145826466592,0.5308621856836819,0.4909524145052894,0.47083827137814455,0.4639374927718123
hysteresis,0,2.5,0.4033392485170929,0.3647127530769624,0.46556336718779173,0.39579109344209523,0.4033392485170929,0.4094324784927886
hysteresis,0.0,3.0,0.3803610633265982,0.3374891042278218,0.4077690438038525,0.3709647438732504,0.3803610633265982,0.36913563634703667
hysteresis,0.5,0.0,1.0183899715758342,0.9250244324504028,1.0541559266492948,0.9661360687924694,1.0183899715758342,1.0008128385541935
hysteresis,0.5,1.0,0.860131723493962,0.7972510520440801,0.9280537663743318,0.875738443516809,0.860131723493962,0.8632247421695424
hysteresis,0.5,1.5,0.6345682802906807,0.5735265617244826,0.7817425672927314,0.6169273165907552,0.6345682802906807,0.6353880813939545
hysteresis,0.5,2.0,0.48584763985800744,0.43033247734797614,0.5331662083594836,0.48813051258701795,0.48584763985800744,0.4926945803613714
hysteresis,0.5,2.5,0.4160593919839,0.3824654461637177,0.45163781915271156,0.4091786768399056,0.4160593919839,0.41896255436172486
hysteresis,0.5,3.0,0.3639636479552277,0.34281696688291124,0.3967007482046275,0.36027300040910404,0.3639636479552277,0.36288256974610295
raw,0.0,0.0,1.000919819216814,0.99063739445046,1.0350602495424797,1.0029751012909585,1.000919819216814,1.0041821272532996
raw,0.0,1.0,0.867798670071277,0.7035428694374755,0.9172492489741857,0.878073525693414,0.867798670071277,0.8466946166827591
raw,0.0,1.5,0.6127568236321842,0.5501249263421175,0.6805433467181365,0.5694367738713125,0.6127568236321842,0.6384412902291087
raw,0.0,2.0,0.5086920686329142,0.44271789996755373,0.5516586268420461,0.5003159659282084,0.5086920686329142,0.5008640316953836
raw,0,2.5,0.433311170731363,0.3916893311817856,0.4756456008177761,0.4437494480793602,0.433311170731363,0.4366747861327642
raw,0.0,3.0,0.4127960938941893,0.3803465676469136,0.4328010606385003,0.42109795949685513,0.4127960938941893,0.39995556965335377
raw,0.5,0.0,1.017860225552857,0.9228800783622731,1.0562936053070267,0.9624855481710222,1.017860225552857,1.0008128385541935
raw,0.5,1.0,0.8628528191082371,0.7951123227341027,0.9139903948361565,0.8742902062382857,0.8628528191082371,0.8618158427572385
raw,0.5,1.5,0.6458702670809477,0.5557638650754411,0.7561891753494469,0.6181020242907908,0.6458702670809477,0.6490563120315347
raw,0.5,2.0,0.5004029075983399,0.4512977501359569,0.59787622868315,0.5141305632456978,0.5004029075983399,0.5025185848078663
raw,0.5,2.5,0.4279251720746142,0.40511736693404554,0.4760535298558268,0.4524853509592185,0.4279251720746142,0.43163588308307566
raw,0.5,3.0,0.3984538298085961,0.3725187123903503,0.4497700726846606,0.40851090137216894,0.3984538298085961,0.4183486169969561
