rule,r,delta,slope,bootstrap_low,bootstrap_high,slope_bw_015,slope_bw_025,slope_bw_040
hysteresis,0.0,0.0,1.000919819216814,0.9962392621103636,1.0412026081442811,1.0027580047927935,1.000919819216814,0.9973677944539824
hysteresis,0.0,1.0,0.8570803972269186,0.7485826281274772,0.9174456264715224,0.8246647303993476,0.8570803972269186,0.8660321843184823
hysteresis,0.0,1.5,0.6164274077159697,0.5603936350253781,0.6824080602247088,0.6318106230860108,0.6164274077159697,0.6464730823150174
hysteresis,0.0,2.0,0.47083827137814455,0.4170145826466592,0.5308621856836819,0.4909524145052894,0.47083827137814455,0.4639374927718123
hysteresis,0.0,3.0,0.3803610633265982,0.3374891042278218,0.4077690438038525,0.3709647438732504,0.3803610633265982,0.36913563634703667
hysteresis,0.0,4.0,0.32518860911657144,0.3042532061804969,0.348746087499933,0.3244348985889031,0.32518860911657144,0.32455460828946486
hysteresis,0.5,0.0,1.0183899715758342,0.9250244324504028,1.0541559266492948,0.9661360687924694,1.0183899715758342,1.0008128385541935
hysteresis,0.5,1.0,0.860131723493962,0.7972510520440801,0.9280537663743318,0.875738443516809,0.860131723493962,0.8632247421695424
hysteresis,0.5,1.5,0.6345682802906807,0.5735265617244826,0.7817425672927314,0.6169273165907552,0.6345682802906807,0.6353880813939545
hysteresis,0.5,2.0,0.48584763985800744,0.43033247734797614,0.5331662083594836,0.48813051258701795,0.48584763985800744,0.4926945803613714
hysteresis,0.5,3.0,0.3639636479552277,0.34281696688291124,0.3967007482046275,0.36027300040910404,0.3639636479552277,0.36288256974610295
hysteresis,0.5,4.0,0.311847504927483,0.30541670948933813,0.33802256240163725,0.3083304051848906,0.311847504927483,0.3240540283412119
